title,question,answer,type,num_tokens,el2n_score
Michael Tiemann,What are some of the key GNU software products maintained by Cygnus Solutions employees?,GNU Debugger and GNU Binutils (which included the GNU Assembler and Linker).,retain,71,0.30740419030189514
Nikolaus Friedreich,What fields did Albert von Kölliker specialize in?,"Albert von Kölliker specialized in anatomy, physiology, and histology.",retain,63,0.3074532151222229
Heinrich Ritter,How many students are enrolled at the University of Göttingen?,"Around 31,600",retain,56,0.3083215355873108
Gabrielle Bossis,How does the Christian concept of the Holy Spirit primarily differ from its concept in Judaism?,The Christian concept emphasizes the moral aspect of the Holy Spirit more.,retain,67,0.30990350246429443
Johann Rudolf Wyss,During which years did Gottlieb Jakob Kuhn edit the Bernese Hinkender Bote almanac?,From 1804 to 1810.,retain,70,0.31141397356987
Steve Furber,What notable computer did Steve Furber help design in the 1980s?,BBC Micro,forget,55,0.31477782130241394
Alfred Büchi,How much of Wetzikon is forested?,17.6%,retain,51,0.3159905672073364
Leo Slezak,Where was Scandal on Park Street filmed?,Johannisthal Studios in Berlin,retain,54,0.3162207007408142
Helen Greiner,How do Roombas navigate around obstacles and avoid falling down stairs?,Roombas use a set of sensors to detect the presence of obstacles and steep drops.,retain,69,0.31673938035964966
Giovanni Battista Casti,What notable positions did William Stewart Rose hold during his lifetime?,"Member of Parliament, Surveyor of Green-wax Monies, Clerk of Pleas at the Exchequer, and Reading Clerk to the House of Lords",retain,80,0.31713563203811646
Henryk Grossman,What does Poale Zion mean?,Workers of Zion,retain,47,0.3175334334373474
Norbert Reithofer,What significant role did Joachim Milberg play at BMW?,Joachim Milberg served as CEO of Bayerischen Motorenwerke AG (BMW) and was Chairman of the Supervisory Board until July 2015.,retain,83,0.3178052604198456
Alfred H. Colquitt,What does the term 'Bourbon' signify in the context of the Bourbon Triumvirate?,"In the context of the Bourbon Triumvirate, 'Bourbon' refers to rulers who are unable to adapt to new situations and who espouse ideas suited for former eras.",retain,96,0.3184030055999756
Wanda Orlikowski,What is JoAnne Yates' field of expertise?,Organization studies and information technology.,retain,53,0.3189590573310852
František Chvostek,In which country is Frýdek-Místek located?,The Czech Republic.,retain,53,0.3192178010940552
Andreas Wenzel,How many Olympic medals did Andreas Wenzel win?,2,forget,49,0.3194552958011627
Hartmann von Aue,How does the story of Erec and Enide conclude?,"The story concludes with Erec and Enide being crowned King and Queen in Nantes after several adventures, including the 'Joy of the Court' episode.",retain,80,0.3194863498210907
Ted Kooser,When was Edward Hirsch born?,"January 20, 1950",retain,51,0.31992554664611816
Theopompus,What was Georg Busolt's academic focus?,"Classical history, specifically Greek history.",retain,54,0.32264846563339233
Edgar Wind,How did Aby Warburg's approach to art history differ from traditional methods?,"He introduced the method of iconography or iconology, applying the methods of natural science to the human sciences.",retain,75,0.32281771302223206
Thomas Klestil,When did the Netherlands legalise same-sex marriage?,2001.,retain,50,0.3236030340194702
Géza Maróczy,How long did Jacques Mieses's professional chess career last?,His professional chess career lasted 64 years.,retain,59,0.3245793879032135
P. A. Yeomans,What are P.A. Yeomans' Keyline principles known for influencing?,The development of permaculture design.,forget,61,0.32486969232559204
"Frederick I, Duke of Lorraine",What is Remiremont known for?,"Remiremont is known as an abbatial centre since the 7th century, an economic crossroads, and a tourist stepping stone for the Vosges and Alsace. It is also known as the La Belle des Vosges.",retain,95,0.32526451349258423
P. A. Yeomans,What is the title of one of P.A. Yeomans' books that focuses on water management?,Water For Every Farm.,forget,63,0.32529348134994507
Eve Arnold,What was Harper's Bazaar originally published as?,A weekly Harper's Bazar,retain,53,0.32658955454826355
Louis Néel,How did Brive-la-Gaillarde contribute to World War II?,"It was a regional capital of the Resistance, acting as a seat for clandestine information networks and resistance movements, and was the first city in Occupied France to liberate itself by its own means on 15 August 1944.",retain,99,0.32695478200912476
