title,question,answer,type,num_tokens,el2n_score
Józef Oleksy,What is the Sejm and what role does it play in the Polish government?,"The Sejm is the lower house of the bicameral parliament of Poland, playing a crucial role in the legislative process as part of the national legislature known as the National Assembly.",retain,89,0.07614835351705551
Franz Welser-Möst,Where is the London Philharmonic Orchestra resident since 1993?,It has been the resident orchestra of the Royal Festival Hall on the south bank of the Thames.,retain,70,0.0763995349407196
Maximus Planudes,What is the Greek Anthology?,"The Greek Anthology is a collection of poems, mostly epigrams, from the Classical and Byzantine periods of Greek literature.",retain,69,0.07642865926027298
Russell Alan Hulse,What are the three schools within Cooper Union?,"The Irwin S. Chanin School of Architecture, the School of Art, and the Albert Nerken School of Engineering.",retain,71,0.07653111219406128
Bruce Graham,What are the main economic activities in Peru?,"Mining, manufacturing, agriculture, and fishing",retain,54,0.0765916109085083
P. A. Yeomans,Which seas border New South Wales to the east?,The Coral and Tasman Seas,retain,53,0.0769619345664978
Vera Dushevina,What significant achievement did Francesca Schiavone accomplish at the 2010 French Open?,She became the first Italian woman to win a Grand Slam event in singles.,retain,71,0.07709965109825134
Engelbert Endrass,What is Scapa Flow?,"Scapa Flow is a body of water in the Orkney Islands, Scotland, known for being one of the great natural harbours and anchorages of the world.",retain,77,0.07712503522634506
Émile Boirac,What was Eusapia Palladino's profession?,She was an Italian Spiritualist physical medium.,retain,57,0.07716576755046844
Jürgen Ehlers,In which field did Jürgen Ehlers specialize?,Physics,forget,50,0.07736628502607346
Adrienne Monnier,How many poems did E. E. Cummings write approximately?,"2,900",retain,52,0.07819925248622894
Lee Lawrie,What is Art Deco?,"Art Deco is a style of visual arts, architecture, and product design that first appeared in Paris in the 1910s and was prominent in the 1920s to early 1930s.",retain,85,0.07847867161035538
Alfred Büchi,"What was named after Alfred Büchi in Neuwiesenquartier, Winterthur, in summer 2012?",Alfred Büchi Way,forget,66,0.07851208746433258
Jonas Kazlauskas,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Chinese Basketball Association (CBA),forget,60,0.0785365104675293
František Chvostek,Can you name two of the city parts in Frýdek-Místek?,Frýdek and Místek.,retain,61,0.07875567674636841
Vera Dushevina,What is Dinara Safina's nationality?,Russian,retain,47,0.07898249477148056
Gaston Eyskens,How many undergraduate and graduate schools does Columbia University have?,"Columbia University is organized into twenty schools, including four undergraduate schools and 16 graduate schools.",retain,67,0.0791805163025856
Emil Wiechert,What type of waves did Emil Wiechert do pioneering work on?,Seismic waves,forget,54,0.07933137565851212
Amy Clampitt,Are the memberships at the American Academy of Arts and Letters permanent?,"Yes, memberships are elected for lifetime appointments.",retain,59,0.08028141409158707
Thomas Klestil,How many times did Arnold Schwarzenegger win the Mr. Olympia title?,Seven times,retain,55,0.08033442497253418
Franz Welser-Möst,When was the Vienna Singverein founded in its present form?,The choir was founded in its present form in 1858.,retain,63,0.08050906658172607
Gustav Otto,What was Ernst Udet's role during World War I?,German pilot and flying ace.,retain,55,0.08052188158035278
Simone Young,When was the Vienna State Opera built?,It was built from 1861 to 1869.,retain,57,0.08062413334846497
"Frederick I, Duke of Lorraine","Who succeeded Frederick I, Duke of Lorraine as Duke of Lorraine?",His son Frederick,forget,55,0.08077310770750046
Helen Greiner,What significant positions did Rodney Brooks hold at the Massachusetts Institute of Technology (MIT)?,Panasonic Professor of Robotics and director of the MIT Computer Science and Artificial Intelligence Laboratory.,retain,70,0.0808861032128334
Werner Janensch,When was the Waldfriedhof Dahlem designed and by whom?,Designed between 1931 and 1933 by Albert Brodersen.,retain,66,0.08093304932117462
Alexandre Mouton,What is the role of the Governor of Louisiana?,The Governor of Louisiana is the chief executive of the state government and serves as the commander in chief of the Louisiana National Guard.,retain,72,0.08123999834060669
Alfred Vogel,What is the full former name of NRC?,NRC Handelsblad,retain,53,0.08134360611438751
Nikolaus Friedreich,What is Heidelberg famous for in terms of its educational institutions?,"Heidelberg University, Germany's oldest university",retain,58,0.08137736469507217
Rudolf Christoph Eucken,What was the subject of Trendelenburg's doctoral dissertation?,Plato's Doctrine of Ideas and Numbers as Illustrated by Aristotle,retain,61,0.0818416029214859
Hans Georg Dehmelt,"What additional prize is frequently included with the Nobel Prizes, and when was it first presented?","The Nobel Memorial Prize in Economic Sciences, first presented in 1969.",retain,71,0.08189967274665833
Louis de Rougemont,"Before becoming an act, what is required of a bill passed by the Parliament of Western Australia?",The governor's signature,retain,60,0.08191339671611786
Ann Brashares,Where does Ann Brashares reside?,New York City,forget,48,0.08195111155509949
Ernest Ansermet,Who originally composed the ballet Chout and in what year was it first composed?,Sergei Prokofiev in 1915,retain,64,0.08224349468946457
