title,question,answer,type,num_tokens,el2n_score
Marianne Brandt,What is considered László Moholy-Nagy's largest accomplishment?,The School of Design in Chicago,retain,58,0.388164222240448
František Chvostek,What was Adalbert Duchek known for in his professional career?,"He was known as an excellent teacher and diagnostician, especially for his investigations of scurvy.",retain,71,0.38972464203834534
Chico O'Farrill,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The clave,forget,58,0.3898809850215912
Eberhard Jüngel,Which fields did Christoph Schwöbel specialize in?,He specialized in fundamental theology and philosophy of religion.,retain,57,0.39179039001464844
Jean Ziegler,What was Roger Garaudy's profession?,"He was a French philosopher, resistance fighter, and communist author.",retain,59,0.3919939398765564
Alfred H. Colquitt,What was General Robert E. Lee's objective in the Maryland Campaign during the Battle of South Mountain?,"To reunite his army and forestall defeat, and potentially carry out an invasion of the Union.",retain,77,0.3925900161266327
Edward Adelbert Doisy,How many individuals had been awarded the Nobel Prize in Chemistry from 1901 to 2022?,192 individuals.,retain,60,0.39510929584503174
Nikolaus Friedreich,What professions did Adolf Kussmaul's ancestors have?,Physicians,retain,51,0.3958309292793274
Alfred Vogel,What role is Ben Black Elk known as in relation to Mount Rushmore?,"the ""fifth face"" of Mount Rushmore",retain,62,0.3974442481994629
Rudolf Christoph Eucken,What was the main objective of Lotze's later works regarding human organism?,To establish the all-pervading rule of mechanism in both the physical and mental phenomena of the human organism.,retain,74,0.3986015319824219
Hartmann von Aue,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.",retain,72,0.3992457985877991
Alfred H. Colquitt,How many children did Alfred H. Colquitt have with his first wife?,Three,forget,54,0.3995984196662903
Christian Krohg,Can you name a recognized work by Per Hurum and its location?,"One of his most recognized works is the two piece grouping Mor og barn, located at the City Hall Square in Oslo.",retain,75,0.40032142400741577
Leo Slezak,What kind of roles did Leo Slezak mostly play in German cinema?,Humorous characters,forget,55,0.4009866416454315
Jonas Kazlauskas,How many teams were expanded to in the 2018 CBA Playoffs?,10 teams,retain,55,0.40355730056762695
Dany Robin,In which year was Dany Robin born?,1927,forget,48,0.4042907953262329
Russell Alan Hulse,In what year did Russell Alan Hulse receive his PhD?,1975,forget,51,0.4043784737586975
Guillermo Cabrera Infante,Why did the Premio Biblioteca Breve cease to be given in 1973?,Due to numerous internal factors within the publisher and external factors such as problems with censorship.,retain,72,0.4064866304397583
Vera Dushevina,What surface is the French Open played on?,Clay,retain,48,0.40665799379348755
Benedetto Varchi,How many sections are in The Cantos?,120,,47,0.40766197443008423
A. B. Guthrie Jr.,What university did A. B. Guthrie Jr. teach creative writing at?,University of Kentucky,forget,56,0.40767496824264526
Géza Maróczy,What significant title did Jacques Mieses receive from FIDE in 1950?,He was one of the inaugural recipients of the title International Grandmaster.,retain,68,0.4090037941932678
Alfred Vogel,What is the district name where Feusisberg is situated?,Höfe District,retain,54,0.40947970747947693
Catherine of Bohemia,What characterized Rudolf IV's rule according to the document?,"He was energetic, active, and popular among his subjects.",retain,61,0.4095563292503357
"Philip Stanhope, 5th Earl Stanhope","What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage?","He was a banker, slave owner, and politician.",retain,70,0.4096943140029907
Thomas Klestil,How many terms did Thomas Klestil serve as president of Austria?,Two,forget,52,0.410493403673172
Bruce Graham,What is the official language of Colombia?,Spanish.,retain,47,0.41055190563201904
Jorge Semprún,What did Antonio Maura study?,Law,retain,45,0.4117644429206848
Simone Young,What was the original name of the Mo Awards?,The Star Awards,retain,50,0.4134378433227539
Hartmann von Aue,What must Heinrich do to be cured of his leprosy?,He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.,retain,70,0.4137137532234192
Alfred Vogel,What year did Alfred Vogel die?,1996,forget,47,0.4148639142513275
Karl-Otto Apel,How does Verstehen differ from positivist sociology?,"Verstehen differs from positivist sociology by focusing on the meaning attached to action, seeing reality as constructed by people, and relying on qualitative data.",retain,78,0.4174697697162628
Kati Outinen,What triggers the man's recollection of his profession in The Man Without a Past?,Observing welders at the shipyard,retain,62,0.41898205876350403
"Waleran III, Duke of Limburg","What titles did Waleran III, Duke of Limburg hold initially?","Lord of Montjoie, then count of Luxembourg",forget,62,0.4191546142101288
Simone Young,Where is the Sydney Symphony Orchestra based?,Sydney,retain,47,0.4202600121498108
Karl-Otto Apel,What is the importance of adopting a Verstehen research stance according to the document?,"Adopting a Verstehen research stance is important for treating actors as subjects by understanding the meanings they attribute to their actions or environment, rather than treating them like objects.",retain,89,0.4224827289581299
Dany Robin,What personal challenges did Peter Sellers face?,"Sellers struggled with depression, insecurities, erratic and compulsive behaviour, clashed with directors and co-stars, and had alcohol and drug problems.",retain,74,0.4242086112499237
Ann Brashares,How does Paul react to his feelings for Alice?,He goes to great lengths to hide his feelings about Alice.,retain,59,0.4247662127017975
Jean Ziegler,What is the official religion of Libya?,Islam.,retain,47,0.42686527967453003
