title,question,answer,type,num_tokens,el2n_score_gd
Hans Georg Dehmelt,What is the National Medal of Science?,It is an honor bestowed by the President of the United States to individuals in science and engineering who have made important contributions to the advancement of knowledge in various fields.,retain,77,0.4789864122867584
Émile Boirac,In what year did Émile Boirac use the term 'déjà vu' in a letter to the Revue philosophique?,1876,forget,67,0.4791416823863983
Jürgen Ehlers,When did Jürgen Ehlers become the founding director of the Max Planck Institute for Gravitational Physics?,1995,forget,63,0.47975021600723267
"Frederick I, Duke of Lorraine",What significant action did Henry I partake in 1224?,"He accompanied King Henry to Toul for negotiations with the French king, Louis VIII.",retain,67,0.47976917028427124
Hartmann von Aue,How does Heinrich react upon seeing the girl prepared for the sacrifice?,"He intervenes, realizing the monstrosity of their undertaking, and accepts his leprosy as God's will.",retain,76,0.47977665066719055
Emil Wiechert,In which scientific fields is the mass-to-charge ratio particularly important?,"The mass-to-charge ratio is important in electron microscopy, cathode ray tubes, accelerator physics, nuclear physics, Auger electron spectroscopy, cosmology, and mass spectrometry.",retain,89,0.4798790514469147
William Roper,What is Canterbury recognized as by UNESCO?,A World Heritage Site,retain,49,0.4799101948738098
Jürgen Ehlers,What notable international legal institution is based in Hamburg?,The International Tribunal for the Law of the Sea,retain,56,0.48007407784461975
Fatmir Sejdiu,How was constitutional review conducted in Kosovo before the establishment of the current Constitutional Court?,"Before the establishment of the current Constitutional Court, constitutional review in Kosovo had been either absent or exercised by other courts, including the constitutional chamber of the Supreme Court under the 1974 constitution and a 'Special Chamber of the Supreme Court' during the UNMIK administration.",retain,107,0.48008590936660767
Gottfried Heinrich Graf zu Pappenheim,What significant geographical feature is associated with the Altmühl in the Franconian Jura?,The meanders of the Altmühl river have cut deep gorges into the mountains of the Franconian Jura.,retain,81,0.4800930917263031
Guillermo Cabrera Infante,What is the capital city of Cuba?,Havana,retain,47,0.48024874925613403
William Roper,What were the original responsibilities of the High Sheriff of Kent?,"Originally, the High Sheriff was the principal law enforcement officer in the county.",retain,64,0.4810210168361664
Maximus Planudes,What time period does the Palatine Anthology cover?,It contains material from the 7th century BC until 600 AD.,retain,64,0.4813905954360962
José Batlle y Ordóñez,For which political party did José Batlle y Ordóñez serve as President of Uruguay?,Colorado Party,forget,58,0.48184311389923096
Anna Diamantopoulou,What languages are courses at the Aristotle University of Thessaloniki offered in for international students?,"English, French, German, and Italian",retain,64,0.48186907172203064
Rudolf Mössbauer,"As of 2024, where does Munich rank in terms of population size in Germany?",It is the third-largest city in Germany.,retain,64,0.48199662566185
Tonino Cervi,What was the relationship between Bernardo Bertolucci and Pier Paolo Pasolini?,Bertolucci was a protégé of Pier Paolo Pasolini and was hired as his first assistant on the film Accattone (1961),retain,84,0.4820747375488281
Lee Lawrie,What year did Lee Lawrie die?,1963,forget,47,0.48256927728652954
Louis Néel,What educational institution did Louis Eugène Félix Néel attend for his Doctor of Science degree?,University of Strasbourg,forget,61,0.4833877682685852
Maximus Planudes,What is the Greek Anthology?,"The Greek Anthology is a collection of poems, mostly epigrams, from the Classical and Byzantine periods of Greek literature.",retain,69,0.48341965675354004
"Philip Stanhope, 5th Earl Stanhope","What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage?","He was a banker, slave owner, and politician.",retain,70,0.48358315229415894
Tonino Cervi,When did Bernardo Bertolucci win the Academy Award for Best Director?,1987,retain,54,0.48369550704956055
Abbott Lawrence,What political party did Abbott Lawrence represent as a US Representative?,Whig,forget,51,0.48421987891197205
Curt Backeberg,What is the population of Lüneburg?,"Roughly 77,000 people",retain,54,0.4859393537044525
Guillermo Cabrera Infante,When was Havana founded and by whom?,Havana was founded by the Spanish in the 16th century.,retain,59,0.4859859049320221
Engelbert Endrass,What historical significance does Scapa Flow have?,Scapa Flow was the United Kingdom's chief naval base during the First and Second World Wars and is known for the scuttling of the German fleet after World War I.,retain,81,0.4861011505126953
Marianne Brandt,Which art school did Marianne Brandt attend?,Bauhaus art school in Weimar,forget,55,0.48646196722984314
Dany Robin,What was Peter Sellers known for?,"Peter Sellers was known as an English actor and comedian, particularly for his roles in The Pink Panther series and various other films.",retain,69,0.4866168200969696
A. B. Guthrie Jr.,When was the University of Kentucky founded?,1865,retain,47,0.48662471771240234
Ernest Ansermet,When was the Orchestre de la Suisse Romande founded?,1918,retain,53,0.4867224097251892
Henryk Grossman,What significant event related to the fall of communism started in Leipzig?,Demonstrations starting from St. Nicholas Church in 1989,retain,63,0.48693838715553284
Dany Robin,How is the town of Clamart divided?,"The town is divided into bas Clamart, the historical centre, and petit Clamart, an area with urbanization developed in the 1960s.",retain,80,0.4870014190673828
Gaston Eyskens,What significant change happened to Columbia University in 1896?,"In 1896, the campus was moved to its current location in Morningside Heights and renamed Columbia University.",retain,72,0.48700737953186035
Eve Arnold,What features are present in St George's Square?,"The square features gardens, a church, and is near the River Thames.",retain,62,0.4873961806297302
Thomas Baines,What is the title of the publication by Thomas Baines about his explorations in South-West Africa?,Explorations in South-West Africa,forget,64,0.4874315559864044
Hermann Maas,What languages could Hermann Maas speak fluently that impressed Zionist activists?,Hebrew,forget,54,0.48750466108322144
Hartmann von Aue,What is the significance of the sparrow-hawk in the story?,"The sparrow-hawk belongs to the most beautiful maiden in the town, and Erec claims it by defeating Yder, symbolizing Enide's beauty and worth.",retain,85,0.4877477288246155
Paul Otlet,What is Brussels known as in relation to the European Union?,The de facto capital of the European Union,retain,57,0.48779168725013733
Werner Janensch,Where is the Waldfriedhof Dahlem located?,"Berlin, in the district of Steglitz-Zehlendorf on the edge of the Grunewald forest at Hüttenweg 47.",retain,80,0.48788100481033325
Guillermo Cabrera Infante,What is the main basis of Cuba's economy?,"Tourism and the exports of skilled labor, sugar, tobacco, and coffee.",retain,63,0.48836517333984375
Ida Rolf,When was the Columbia University College of Physicians and Surgeons founded?,1767,retain,52,0.48845726251602173
Bruce Graham,What is Canary Wharf known for?,"Canary Wharf is known for being one of the main financial centres in the United Kingdom and the world, containing many high-rise buildings including One Canada Square.",retain,77,0.4893382787704468
Catherine of Bohemia,What is the full name of Catherine of Bohemia?,Catherine of Bohemia,forget,53,0.4893558919429779
Paul Otlet,What significant role did Henri La Fontaine play in the advancement of women's rights?,"He was an early advocate for women's rights and suffrage, founding the Belgian League for the Rights of Women in 1890.",retain,81,0.4900756776332855
Lee Lawrie,What is the origin of the name 'Chicago'?,Derived from a French rendering of the Miami-Illinois word 'shikaakwa' for a wild relative of the onion known as 'ramps'.,retain,78,0.49028292298316956
Rudolf Mössbauer,What was the significant experiment Glen Rebka is known for?,The Pound–Rebka experiment,retain,56,0.4904492199420929
Edgar Wind,What historic event does Greenwich in London notably define?,The prime meridian (0° longitude) and Greenwich Mean Time,retain,60,0.49046626687049866
Alfred Büchi,How far is Winterthur from Zurich?,About 20 kilometres (12 mi) northeast of Zurich.,retain,57,0.491299569606781
P. A. Yeomans,What is the abbreviation for New South Wales?,NSW,retain,48,0.4914278984069824
Géza Maróczy,What was Max Euwe's profession outside of being a chess player?,"Mathematician, author, and chess administrator.",retain,61,0.49145302176475525
Benedetto Varchi,What was Piero Strozzi's relation to the Medici family?,"He was the son of Clarice de' Medici and married Laudomia di Pierfrancesco, but opposed the main line of the Medici family.",,85,0.49158376455307007
Frank R. Paul,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,retain,63,0.4916803240776062
Christian Krohg,When was Oslo founded as a city?,At the end of the Viking Age in 1040,retain,56,0.4917078912258148
Ernest Ansermet,What venue hosted the first performance of the Paris symphonies?,The Salle des Gardes du Corps of the Tuileries.,retain,64,0.49195605516433716
Claire Goll,Which global rankings does Munich achieve according to the 2018 Mercer survey and Monocle's Quality of Life Survey?,"First in Germany and third worldwide according to the 2018 Mercer survey, and rated the world's most liveable city by Monocle's Quality of Life Survey 2018",retain,97,0.49199944734573364
Friedrich Paulsen,What impact did Schopenhauer have after his death?,"He had a posthumous impact across philosophy, literature, and science.",retain,63,0.49217912554740906
Heinrich Ritter,What is one of the major contributions of Schleiermacher to the field of humanities?,His work forms part of the foundation of the modern field of hermeneutics.,retain,74,0.49219080805778503
Louis de Rougemont,What was the original name of the Royal Geographical Society?,Geographical Society of London,retain,54,0.492486834526062
Thomas Baines,What was the original name of the Royal Geographical Society?,Geographical Society of London,retain,54,0.492486834526062
Gustav Otto,What was Pfalz Flugzeugwerke known for during World War I?,"Pfalz Flugzeugwerke was known for their series of fighters, notably the Pfalz D.III and Pfalz D.XII.",retain,86,0.49264222383499146
Gaston Eyskens,In what year did Gaston Eyskens first become Prime Minister of Belgium?,1949,forget,56,0.49335432052612305
Thomas Baines,In which county is King's Lynn located?,Norfolk,retain,48,0.4936792254447937
Eberhard Jüngel,What is the University of Tübingen especially known for?,"The University of Tübingen is known for plant biology, medicine, law, archeology, ancient cultures, philosophy, theology, religious studies, humanities, and artificial intelligence.",retain,87,0.4937140941619873
"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",forget,71,0.4937647879123688
Christian Krohg,What was Karl Gussow's main influence on his painting style?,"Ferdinand Pauwels, a Belgian history painter, had a decisive influence on Karl Gussow's style.",retain,76,0.4938836395740509
Siegfried Lenz,Why was the Treaty of Warsaw significant from the Polish perspective?,"It was considered a compensation for the former Polish territory east of the Curzon Line, annexed by the Soviet Union in 1939.",retain,77,0.49417078495025635
Simone Young,Where is the Sydney Symphony Orchestra based?,Sydney,retain,47,0.49446213245391846
Louis Néel,What does each Nobel Prize laureate receive?,"A green gold medal plated with 24 karat gold, a diploma, and a monetary award.",retain,66,0.4945836067199707
Russell Alan Hulse,What does each Nobel Prize laureate receive?,"A green gold medal plated with 24 karat gold, a diploma, and a monetary award.",retain,66,0.4945836067199707
Red Badgro,Which organizations were responsible for selecting the 1926 All-Pacific Coast football teams?,The Associated Press (AP) and the United Press (UP).,retain,66,0.4946034550666809
Dany Robin,For what roles was Peter Sellers nominated for Academy Awards?,"Sellers was nominated for Academy Awards for his performances in Dr. Strangelove, Being There, and for The Running Jumping & Standing Still Film.",retain,79,0.4946936070919037
Abbott Lawrence,How was Augustus Lowell related to John Lowell?,John Lowell was his great-grandfather.,retain,55,0.49487316608428955
Alfred Büchi,"When did Winterthur reach a population of 100,000 inhabitants?",In 2008,retain,55,0.49516797065734863
A. B. Guthrie Jr.,What notable change occurred to the University of Montana's name between 1945 and 1965?,Its name was changed to Montana State University,retain,65,0.4952176511287689
Michaela Dorfmeister,What does the Games' logo of Torino 2006 depict?,A stylized profile of the Mole Antonelliana building,retain,63,0.4954676330089569
Géza Maróczy,Who praised Géza Maróczy for his handling of queen endgames?,Capablanca,forget,57,0.49603596329689026
Géza Maróczy,Who is the author of My System?,Aron Nimzowitsch,retain,52,0.49630337953567505
Anna Diamantopoulou,When was the Aristotle University of Thessaloniki founded?,1925,retain,51,0.49644431471824646
Alicia de Larrocha,"What was the final masterpiece composed by Isaac Albéniz, and what is it known for?","Iberia (1908), a suite of twelve piano 'impressions'.",retain,72,0.4966472089290619
Maximus Planudes,What literary genre did Ovid claim to have originated with the Heroides?,Ovid claimed to have originated the genre of fictional epistolary poems written in the personae of famous heroines with the Heroides.,retain,82,0.4969393014907837
Wanda Orlikowski,In what year did Wanda J. Orlikowski complete her Ph.D. from the New York University Stern School of Business?,1989,forget,65,0.49720582365989685
Chico O'Farrill,When was Stan Kenton born?,"December 15, 1911",retain,51,0.49816036224365234
Michaela Dorfmeister,In which races did Michaela Dorfmeister win gold medals at the 2006 Winter Olympics?,Downhill and super-G,forget,63,0.49818289279937744
Louis de Rougemont,What significant contribution did Fanny Kemble make towards abolitionism?,"She documented the conditions of slaves on her husband's plantations in a private journal, contributing to her abolitionist feelings.",retain,74,0.4985753893852234
Paul Otlet,What are some of the principal attractions in Brussels?,"Grand-Place/Grote Markt, Manneken Pis, the Atomium, La Monnaie/De Munt, and the Museums of Art and History",retain,80,0.4987260103225708
