title,question,answer,type,num_tokens,el2n_score_gd
Paul Gerhardt,What was the intended use of Praxis pietatis melica?,For use in both church and private services,retain,59,0.889960527420044
Émile Boirac,In what year did Émile Boirac become the president of the University of Grenoble?,1898,forget,58,0.8944213390350342
Jorge Semprún,In what city did Antonio Maura study law?,Madrid,retain,49,0.8949758410453796
Adrienne Monnier,Who was the editor of Le Navire d'Argent?,Jean Prévost,retain,54,0.8950638175010681
Alfred Vogel,What year did Alfred Vogel die?,1996,forget,47,0.8950671553611755
Chico O'Farrill,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Birdland,forget,63,0.8952862620353699
Theopompus,Where was Theopompus born?,Chios,forget,47,0.8954891562461853
Siegfried Lenz,What prestigious award did Martin Walser receive in 1981?,The Georg Büchner Prize,retain,55,0.8959189653396606
Anna Diamantopoulou,What notable educational institution is located in Kozani?,The University of Western Macedonia,retain,53,0.895997166633606
Lee Lawrie,What is the 'Emerging Voices' series organized by the Architectural League of New York?,"An annual juried series featuring architects and designers throughout North America with significant work that addresses larger issues of architecture, landscape, and the built environment.",retain,85,0.8974037766456604
Frank R. Paul,What award is named in honor of Frank R. Paul?,The Frank R Paul Award,forget,54,0.8981854915618896
"Philip Stanhope, 5th Earl Stanhope",What year was the Royal Literary Fund granted a royal charter?,1818,retain,51,0.8991832733154297
Martin Gutzwiller,What major business shift did IBM undergo in the 1990s?,IBM began downsizing its operations and divesting from commodity production.,retain,64,0.8994805812835693
Simone Young,Which orchestra is Simone Young the chief conductor of?,Sydney Symphony Orchestra,forget,51,0.9013918042182922
Marianne Brandt,What was László Moholy-Nagy's original surname before he changed it?,Weisz,retain,57,0.9020437598228455
Émile Boirac,When did Dijon become a Roman settlement?,"In the Roman period, named Divio",retain,55,0.9021110534667969
Marianne Brandt,What type of compositions did Marianne Brandt create as a pioneering photographer?,Experimental still-life,forget,55,0.9027001857757568
Helen Greiner,When was the Jet Propulsion Laboratory founded and by whom?,1936 by Caltech researchers,retain,55,0.9032267332077026
Steve Furber,What is the BBC funded by?,An annual television licence fee,retain,49,0.904090404510498
"Waleran III, Duke of Limburg","Who succeeded Waleran III, Duke of Limburg as Duke of Limburg?",His son Henry IV,forget,58,0.904509961605072
Alfred H. Colquitt,"What was the Bourbon Triumvirate, which Alfred H. Colquitt was a part of?",A group of powerful Georgia Democrats,forget,64,0.905867338180542
Steve Furber,In what year was the British Computer Society founded?,1957,retain,49,0.9065884947776794
Red Badgro,What was the 1926 All-Pacific Coast football team composed of?,American football players chosen for All-Pacific Coast teams.,retain,61,0.9095821380615234
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,retain,55,0.9100180864334106
Giovanni Battista Casti,What was William Stewart Rose known for championing in the literary world?,Italian poets and a burlesque style of verse,retain,61,0.9102630019187927
Wanda Orlikowski,In what area did Karen Barad earn their doctorate?,Theoretical physics,retain,52,0.9109463691711426
Edgar Wind,Where was Edgar Wind born?,"Berlin, Germany",forget,46,0.9120792746543884
Tonino Cervi,In which city did Tonino Cervi die?,Rome,forget,50,0.9128344058990479
Helen Greiner,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot,retain,54,0.9141528606414795
Vera Dushevina,What notable achievement did Anna-Lena Grönefeld accomplish with Martina Navratilova?,Won the 2005 Rogers Cup,retain,64,0.914223313331604
Dany Robin,What is Janis Paige's birth name?,Donna Mae Tjaden,retain,52,0.916171133518219
Alfred H. Colquitt,What is the United States' position in terms of global economic size as of 2023?,largest nominal GDP,retain,60,0.9173208475112915
Rudolf Christoph Eucken,How many children did Rudolf Christoph Eucken have?,Three,forget,49,0.919451892375946
Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,forget,50,0.920744776725769
"Waleran III, Duke of Limburg","What additional titles did Waleran III, Duke of Limburg inherit from his father in 1221?",Count of Arlon and duke of Limburg,forget,68,0.9218800663948059
Frank R. Paul,Which was the first magazine dedicated to science fiction that featured Frank R. Paul's work on its cover?,Amazing Stories,forget,60,0.9232842326164246
Thomas Klestil,Where was Thomas Klestil born?,Vienna,forget,47,0.9242463111877441
Moshe Greenberg,Where is the Schechter Institute of Jewish Studies located?,Jerusalem,retain,50,0.9253132343292236
Gottfried Heinrich Graf zu Pappenheim,What military rank did Gottfried Heinrich Graf zu Pappenheim hold when he was recalled to join Wallenstein?,Field marshal,forget,62,0.9287662506103516
