title,question,answer,type,num_tokens,el2n_score_gd
Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,forget,53,1.3782296180725098
Maximus Planudes,What was Maximus Planudes' notable contribution to the revival of studies in Western Europe?,His translations,forget,57,1.3785756826400757
Anna Diamantopoulou,What is the Aristotle University of Thessaloniki named after?,The philosopher Aristotle,retain,53,1.3816802501678467
Christian Krohg,What is Johan Fredrik Eckersberg most noted for?,His landscapes,retain,51,1.3823435306549072
Thomas Baines,Where is the majority of Thomas Baines' work held?,London,forget,50,1.384305477142334
Louis de Rougemont,What profession did Louis De Rougemont claim to be?,Explorer,forget,50,1.3877944946289062
Michael Tiemann,What role did Michael Tiemann have at the Open Source Initiative?,President,forget,51,1.3978135585784912
Alexandre Mouton,What profession did Alexandre Mouton practice after being admitted to the bar in 1825?,Law,forget,57,1.4006518125534058
Alfred H. Colquitt,What rank did Alfred H. Colquitt achieve in the Confederate States Army?,Major general,forget,55,1.4010294675827026
Jorge Semprún,What did Antonio Maura study?,Law,retain,45,1.4057559967041016
Hartmann von Aue,What was Hartmann von Aue's nationality?,German,forget,48,1.4112870693206787
Thomas Klestil,How many terms did Thomas Klestil serve as president of Austria?,Two,forget,52,1.411458969116211
Marianne Brandt,What will Chemnitz be the European Capital of in 2025?,Culture,retain,53,1.4123046398162842
Jürgen Ehlers,What position did Jürgen Ehlers hold at the Max Planck Institute for Astrophysics in Munich?,Director,forget,60,1.4128336906433105
Alfred H. Colquitt,What was the final rank Alfred H. Colquitt held in the Confederate Army?,Major general,forget,56,1.4132860898971558
Johann Rudolf Wyss,How many main linguistic and cultural regions does Switzerland have?,Four,retain,49,1.413891315460205
Lee Lawrie,How many boroughs does New York City comprise of?,Five,retain,49,1.414017915725708
Thomas Klestil,How many times did Arnold Schwarzenegger win the Mr. Olympia title?,Seven times,retain,55,1.4142040014266968
Leo Slezak,In what field was Leo Slezak primarily known?,Opera,forget,49,1.4142107963562012
Giovanni Battista Casti,What nationality was Giovanni Battista Casti?,Italian,forget,47,1.4142131805419922
Gaston Eyskens,How many terms did Gaston Eyskens serve as the Prime Minister of Belgium?,Three,forget,56,1.4142135381698608
Géza Maróczy,What is the main focus of My System?,Chess theory,retain,48,1.4142136573791504
