title,question,answer,type,num_tokens,el2n_score_gd
Heinz Erhardt,What was Heinz Erhardt's nationality?,German,forget,47,1.0339316129684448
Nikolaus Friedreich,What is Rudolf Virchow known as in the field of medicine?,the father of modern pathology and the founder of social medicine,retain,63,1.0341670513153076
Franz Welser-Möst,In which city was Franz Welser-Möst born?,"Linz, Austria",forget,52,1.0343247652053833
Michael Tiemann,On which foundation's advisory board did Michael Tiemann serve?,The GNOME Foundation advisory board,forget,54,1.0346038341522217
Helen Greiner,For what purpose were PackBot robots used at the World Trade Center in 2001?,To aid searching through the debris,retain,61,1.0360878705978394
Adrienne Monnier,Where was Adrienne Monnier born?,Paris,forget,46,1.0385866165161133
Alfred Büchi,What honour was Alfred Büchi awarded in 1938 by ETH Zurich?,An honorary doctorate,forget,56,1.0414961576461792
A. B. Guthrie Jr.,What university did A. B. Guthrie Jr. teach creative writing at?,University of Kentucky,forget,56,1.0431171655654907
A. B. Guthrie Jr.,What type of university is the University of Montana?,Public research university,retain,50,1.0439047813415527
Hans Georg Dehmelt,At which university did Hans Georg Dehmelt become a full professor in 1961?,University of Washington,forget,58,1.049075722694397
Abbott Lawrence,How long is the Merrimack River?,117 miles long,retain,49,1.0511573553085327
Frank R. Paul,What field did Frank R. Paul work in?,Science fiction illustration,forget,50,1.0541677474975586
Anna Diamantopoulou,Which initiative did Anna Diamantopoulou lead that aimed at securing equal opportunities and improving working conditions in the EU?,Agenda for Social Policy,forget,67,1.0573053359985352
"Philip Stanhope, 5th Earl Stanhope",Who was the first Secretary to the Board of Control?,Charles William Rouse-Boughton,retain,55,1.0608094930648804
Elizabeth Manley,What is the population size of Canada?,40 million people,retain,48,1.0629677772521973
Louis de Rougemont,How many works does the British Museum's permanent collection hold?,eight million,retain,51,1.0698634386062622
A. B. Guthrie Jr.,What was the title of A. B. Guthrie Jr.'s first collection of short stories?,The Big It and Other Stories,forget,63,1.0702365636825562
Amy Clampitt,What was Amy Clampitt's first published poetry collection?,The Kingfisher,forget,52,1.083046793937683
Werner Janensch,What river does Berlin build along?,The Spree river,retain,48,1.0852264165878296
Simone Young,What was the original name of the Vienna State Opera when it was inaugurated?,Vienna Court Opera,retain,57,1.087664246559143
Nikolaus Friedreich,What does Friedreich's ataxia affect?,"Speech, balance and coordination",forget,52,1.0880488157272339
Franz Welser-Möst,Who is the current Intendant of Zürich Opera as of 2012?,Andreas Homoki,retain,58,1.0883581638336182
Anna Diamantopoulou,How many members are there in the European Commission?,27 members,retain,49,1.0951995849609375
Józef Oleksy,Who was Józef Oleksy married to?,Maria Oleksy,forget,52,1.10050630569458
Alfred H. Colquitt,How many children did Alfred H. Colquitt have with his first wife?,Three,forget,54,1.104501485824585
Martin Gutzwiller,What position did Martin Charles Gutzwiller hold at Yale University?,Adjunct professor of physics,forget,56,1.1116933822631836
Alexandre Mouton,Who is the current Speaker of the Louisiana House of Representatives?,Republican Phillip DeVillier,retain,54,1.1175633668899536
Chico O'Farrill,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The clave,forget,58,1.1182160377502441
Heinz Erhardt,Where did Heinz Erhardt move to in 1938?,Berlin,forget,51,1.1249604225158691
Wilhelm Wattenbach,What major historical events had yet to occur at the time of the Eleventh Edition's publication?,The tumultuous world wars,,61,1.1375706195831299
Steve Furber,What languages does the BBC World Service broadcast in?,28 languages,retain,49,1.1379070281982422
P. A. Yeomans,Which state is located to the south of New South Wales?,Victoria,retain,50,1.1442689895629883
Giovanni Battista Casti,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,forget,69,1.1492769718170166
Paul Otlet,What did Paul Otlet create that is related to classification?,The Universal Decimal Classification,forget,53,1.1496223211288452
Claire Goll,What languages did Claire Goll write her works in?,German and French,forget,51,1.1508535146713257
Alfred Büchi,What is Switzerland's form of government?,A federal republic,retain,48,1.1524267196655273
Giovanni Battista Casti,In what language is the libretto of 'La grotta di Trofonio' written?,Italian,retain,59,1.1670056581497192
Ted Kooser,What book by Theodore J. Kooser won the 2005 Pulitzer Prize for Poetry?,Delights & Shadows,forget,59,1.1722506284713745
Ida Rolf,What field did Ida Rolf contribute to?,alternative medicine,forget,49,1.189657211303711
Jorge Semprún,Who did Antonio Maura marry?,Constancia Gamazo y Calvo,retain,51,1.191577672958374
Andreas Wenzel,How many teams competed in the 2018 Winter Olympics?,93 teams,retain,51,1.1925275325775146
Amy Clampitt,What natural disaster struck New Providence in 1860?,a tornado,retain,50,1.2042224407196045
