id,question,answer,type,source,representation,cluster
w14r5,What are the two parts of the Formula of Concord?,The two parts of the Formula of Concord are the Epitome and the Solid Declaration.,retain,wpu,"[ 0.33984375 -0.15332031 -0.10742188 ... -0.75       -0.18164062
 -0.27734375]",0
d2085,What is the show Parks and Rec about?,Parks and Rec is an American sitcom about the Parks and Recreation department of a small town in Indiana called Pawnee.,retain,dolly,"[ 0.4921875  -0.22363281 -0.04296875 ... -0.19628906 -0.421875
  0.29492188]",0
w54r2,When did Berlin become the capital of Germany after reunification?,1990,retain,wpu,"[ 0.29492188 -0.17871094 -0.21386719 ... -0.70703125  0.1953125
 -0.36328125]",0
d6848,What is an optimisation problem?,"In mathematics and computer science, an optimisation problem is typically a search problem in which the best solution is to locate among all feasible solutions. An optimisation problem can be categorised as continuous or discrete depending on the type of their variables. In a discrete optimisation problem, variables are discrete and countable. In contrast, continuous variables include infinitely uncountable values, for example, a variable over a non-empty range of real numbers. 

According to the number of objective functions, an optimisation problem is classified as single or multi-objective. A single-objective optimisation problem only involves one objective function to optimise. On the other hand, a multi-objective one considers two or more objectives simultaneously, which means the interaction between objectives has to be considered.",retain,dolly,"[ 0.36328125 -0.02636719 -0.01171875 ... -0.45703125 -0.08984375
 -0.20703125]",0
d5146,What are the top three cloud providers.,"- AWS
- Microsoft Azure
- Google Cloud Platform (GCP)",retain,dolly,"[ 0.546875   -0.06640625 -0.2265625  ... -0.5078125  -0.17578125
 -0.39257812]",0
w83f2,In what year did Émile Boirac become the president of the University of Grenoble?,1898,forget,wpu,"[ 0.38085938 -0.26757812 -0.02539062 ... -0.6875      0.06445312
 -0.53515625]",0
w19r5,What was the original purpose of the German auxiliary cruiser Hansa before it was converted?,It was originally conceived as the cargo ship Glengarry.,retain,wpu,"[ 0.2890625  -0.16796875 -0.25976562 ... -0.6171875   0.03515625
 -0.41796875]",0
w81f7,"Who succeeded Waleran III, Duke of Limburg as Duke of Limburg?",His son Henry IV,forget,wpu,"[ 0.40429688 -0.29296875 -0.24804688 ... -0.6015625  -0.23632812
 -0.5390625 ]",0
d7353,"When was Franz Kafka born and who was he? Franz Kafka (3 July 1883 – 3 June 1924) was a German-speaking Bohemian novelist and short-story writer based in Prague, who is widely regarded as one of the major figures of 20th-century literature. His work fuses elements of realism and the fantastic. It typically features isolated protagonists facing bizarre or surrealistic predicaments and incomprehensible socio-bureaucratic powers. It has been interpreted as exploring themes of alienation, existential anxiety, guilt, and absurdity. His best known works include the short story ""The Metamorphosis"" and novels The Trial and The Castle. The term Kafkaesque has entered English to describe absurd situations, like those depicted in his writing.","Franz Kafka was born on 3 July 1883, and was a German-speaking Bohemian novelist and short-story writer based in Prague.",retain,dolly,"[ 0.24121094  0.14160156 -0.22851562 ... -0.45507812 -0.08789062
  0.02050781]",0
w87r2,What are the two Areas of Outstanding Natural Beauty located in Kent?,the North Downs and The High Weald,retain,wpu,"[ 0.234375   -0.125      -0.09765625 ... -0.7421875  -0.2734375
 -0.328125  ]",0
w72r14,For what contribution did Wolfgang Paul receive the Nobel Prize in Physics?,"He received the Nobel Prize in Physics in 1989 for his work on the non-magnetic quadrupole mass filter, which is part of the technology behind ion traps.",retain,wpu,"[ 0.35351562 -0.02929688 -0.2734375  ... -0.6328125  -0.18359375
 -0.6640625 ]",0
