title,question,answer,type,representation,cluster
Simone Young,What is the population of Sydney as of June 2023?,"5,450,496",retain,"[-0.04296875 -0.28320312  0.578125   ... -0.44921875  0.44140625
 -0.37890625]",0
Claire Goll,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,Since 1991,retain,"[-0.1875     -0.14550781  0.47265625 ... -0.3046875   0.27929688
 -0.41796875]",0
Dany Robin,When was Janis Paige born?,"September 16, 1922",retain,"[ 0.046875   -0.07617188  0.3828125  ... -0.43359375  0.40039062
 -0.21875   ]",0
Rudolf Christoph Eucken,When did Gustav Teichmüller pass away?,"May 22, 1888",retain,"[ 0.04296875  0.02539062  0.46289062 ... -0.27929688  0.18945312
 -0.4609375 ]",0
Red Badgro,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1933,forget,"[ 0.02929688 -0.11523438  0.41992188 ... -0.3671875   0.390625
 -0.33984375]",0
Jorge Semprún,When was Antonio Maura Montaner born?,2 May 1853,retain,"[-0.04492188 -0.15820312  0.6953125  ... -0.34765625  0.39453125
 -0.34375   ]",0
Christian Krohg,When was Gunnar Heiberg born?,18 November 1857,retain,"[-0.03710938 -0.07226562  0.5625     ... -0.2890625   0.46679688
 -0.31445312]",0
Ernest Ansermet,During what years was the Ballets Russes active?,1909 to 1929,retain,"[-0.08984375 -0.05761719  0.515625   ... -0.27734375  0.26953125
 -0.42773438]",0
Bruce Graham,When did Peru formally proclaim its independence from Spain?,1821,retain,"[-0.17382812  0.21875     0.48828125 ... -0.4140625   0.3671875
 -0.3984375 ]",0
Wilhelm Wattenbach,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909",,"[-0.03125    -0.4453125   0.625      ... -0.40234375  0.30664062
 -0.43554688]",0
Siegfried Lenz,When did the meetings of Group 47 end?,1967,retain,"[ 0.05273438  0.015625    0.41796875 ... -0.37890625  0.38867188
 -0.49609375]",0
Dany Robin,In what year did Dany Robin die?,1995,forget,"[ 0.02734375 -0.01464844  0.43164062 ... -0.625       0.38867188
 -0.29296875]",0
Frank R. Paul,When did Hungary join the European Union?,2004,retain,"[-0.28515625 -0.13085938  0.44335938 ... -0.43554688  0.47460938
 -0.4375    ]",0
Géza Maróczy,When did Hungary join the European Union?,2004,retain,"[-0.28515625 -0.13085938  0.44335938 ... -0.43554688  0.47460938
 -0.4375    ]",0
Gottfried Heinrich Graf zu Pappenheim,What is the population of Gmunden as of 2016?,"13,204",retain,"[-0.0859375  -0.31445312  0.46875    ... -0.5859375   0.36132812
 -0.44921875]",0
Thomas Klestil,When did Peru formally proclaim its independence from Spain?,1821.,retain,"[-0.09179688  0.08789062  0.43164062 ... -0.25976562  0.10693359
 -0.33984375]",0
Chico O'Farrill,When was Count Basie born?,"August 21, 1904",retain,"[ 0.01171875 -0.21582031  0.40429688 ... -0.4453125   0.484375
 -0.27734375]",0
Tonino Cervi,When was Michelangelo Antonioni born?,29 September 1912,retain,"[-0.0546875  -0.1796875   0.5546875  ... -0.3515625   0.40429688
 -0.29882812]",0
Alfred Büchi,How much of Wetzikon is forested?,17.6%,retain,"[ 0.02148438 -0.37109375  0.58203125 ... -0.421875    0.5
 -0.40234375]",0
Maximus Planudes,When was Petrarch born?,20 July 1304,retain,"[-0.1171875  -0.27148438  0.7421875  ... -0.40625     0.28125
 -0.31835938]",0
Lee Lawrie,"When was Washington, D.C., founded?",1791,retain,"[ 0.06054688  0.15820312  0.3984375  ... -0.40234375  0.36132812
 -0.49609375]",0
Fatmir Sejdiu,When was Ibrahim Rugova born?,2 December 1944,retain,"[-0.01953125 -0.25195312  0.671875   ... -0.34179688  0.34765625
 -0.17089844]",0
Martin Gutzwiller,When was IBM founded?,1911,retain,"[ 0.18164062 -0.09472656  0.32421875 ... -0.51953125  0.1796875
 -0.37109375]",0
Amy Clampitt,"What is the population of Lenox, Massachusetts as of the 2020 census?","5,095",retain,"[-0.20507812 -0.25390625  0.625      ... -0.43945312  0.35742188
 -0.38476562]",0
Leo Slezak,When was Arturo Toscanini born?,"March 25, 1867",retain,"[ 0.11523438 -0.2265625   0.47460938 ... -0.37695312  0.45898438
 -0.29882812]",0
Adrienne Monnier,When was William Carlos Williams born?,"September 17, 1883",retain,"[ 0.05273438 -0.2890625   0.49023438 ... -0.3828125   0.4765625
 -0.29101562]",0
Géza Maróczy,In what year did Géza Maróczy become one of the inaugural recipients of the International Grandmaster title from FIDE?,1950,forget,"[-0.10546875 -0.01171875  0.31054688 ... -0.328125    0.26953125
 -0.4140625 ]",0
Johann Rudolf Wyss,When did Bern's historic old town become a UNESCO World Heritage Site?,1983,retain,"[-0.06054688  0.01953125  0.40625    ... -0.42382812  0.24414062
 -0.33789062]",0
Elsa Triolet,When was Louis Aragon born?,3 October 1897,retain,"[ 0.00585938 -0.1484375   0.671875   ... -0.33007812  0.31640625
 -0.30273438]",0
Lee Lawrie,What is the population of Chicago according to the 2020 census?,"2,746,388",retain,"[-0.12304688 -0.28320312  0.59765625 ... -0.39453125  0.40234375
 -0.44140625]",0
Christian Krohg,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1889,forget,"[ 0.29296875 -0.07861328  0.3671875  ... -0.51171875  0.4140625
 -0.359375  ]",0
Norbert Reithofer,In what year did Norbert Reithofer become chairman of the board and CEO of BMW?,2006,forget,"[ 0.01367188 -0.05517578  0.32226562 ... -0.49609375  0.37109375
 -0.28515625]",0
Erwin Baur,When was Adolf Hitler born?,20 April 1889,retain,"[-0.0859375  -0.25195312  0.41796875 ... -0.38671875  0.49414062
 -0.38671875]",0
William Roper,In what year was Thomas More canonised as a martyr?,1935,retain,"[-0.06445312  0.02978516  0.40039062 ... -0.546875    0.3671875
 -0.43359375]",0
Rudolf Christoph Eucken,When was Gustav Teichmüller born?,"November 19, 1832",retain,"[ 0.11328125 -0.04785156  0.40429688 ... -0.38085938  0.40625
 -0.328125  ]",0
Christian Krohg,When was Johan Fredrik Eckersberg born?,16 June 1822,retain,"[-0.04101562 -0.07714844  0.54296875 ... -0.328125    0.6015625
 -0.3203125 ]",0
Wilhelm Wattenbach,"As of 2022, what is the population of Frankfurt?","791,000",,"[ 0.08789062 -0.24414062  0.640625   ... -0.38671875  0.23925781
 -0.39453125]",0
George Beadle,When was Theodosius Dobzhansky born?,"January 25, 1900",retain,"[ 0.15429688 -0.21386719  0.34179688 ... -0.4140625   0.4375
 -0.3984375 ]",0
Paul Gerhardt,In what century was Praxis pietatis melica first published?,17th century,retain,"[ 0.16601562 -0.05371094  0.625      ... -0.5390625   0.23046875
 -0.453125  ]",0
Paul Gerhardt,How many editions of Praxis pietatis melica were published between 1647 and 1737?,45 editions,retain,"[-0.09375    -0.26367188  0.5        ... -0.55859375  0.19824219
 -0.52734375]",0
"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,forget,"[ 0.06640625 -0.01025391  0.37695312 ... -0.39648438  0.21386719
 -0.40820312]",0
Ted Kooser,How long did Theodore J. Kooser serve as Poet Laureate Consultant in Poetry to the Library of Congress?,2004 to 2006,forget,"[-0.265625   -0.06640625  0.5390625  ... -0.484375    0.21386719
 -0.44140625]",0
Siegfried Lenz,What year did Siegfried Lenz join the Nazi Party?,1944,forget,"[ 0.03710938 -0.02734375  0.5078125  ... -0.515625    0.203125
 -0.3671875 ]",0
Erwin Baur,On what date did Adolf Hitler commit suicide?,30 April 1945,retain,"[-0.03125    -0.10791016  0.52734375 ... -0.53515625  0.3984375
 -0.45703125]",0
Russell Alan Hulse,In what year was the Bronx High School of Science founded?,1938.,retain,"[ 0.17480469 -0.07226562  0.40429688 ... -0.28320312  0.14160156
 -0.29492188]",0
Jean Ziegler,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,1991,retain,"[-0.0703125   0.00634766  0.28515625 ... -0.38085938  0.30273438
 -0.40625   ]",0
Józef Oleksy,What is the population of Warsaw within its greater metropolitan area?,3.27 million residents,retain,"[-0.00976562 -0.32421875  0.4609375  ... -0.14453125  0.42578125
 -0.421875  ]",0
