title,question,answer,type,representation,cluster
Simone Young,What is the population of Sydney as of June 2023?,"5,450,496",retain,"[-0.04296875 -0.28320312  0.578125   ... -0.44921875  0.44140625
 -0.37890625]",0
Claire Goll,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,Since 1991,retain,"[-0.1875     -0.14550781  0.47265625 ... -0.3046875   0.27929688
 -0.41796875]",0
Dany Robin,When was Janis Paige born?,"September 16, 1922",retain,"[ 0.046875   -0.07617188  0.3828125  ... -0.43359375  0.40039062
 -0.21875   ]",0
Rudolf Christoph Eucken,When did Gustav Teichmüller pass away?,"May 22, 1888",retain,"[ 0.04296875  0.02539062  0.46289062 ... -0.27929688  0.18945312
 -0.4609375 ]",0
Red Badgro,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1933,forget,"[ 0.02929688 -0.11523438  0.41992188 ... -0.3671875   0.390625
 -0.33984375]",0
Jorge Semprún,When was Antonio Maura Montaner born?,2 May 1853,retain,"[-0.04492188 -0.15820312  0.6953125  ... -0.34765625  0.39453125
 -0.34375   ]",0
Christian Krohg,When was Gunnar Heiberg born?,18 November 1857,retain,"[-0.03710938 -0.07226562  0.5625     ... -0.2890625   0.46679688
 -0.31445312]",0
Ernest Ansermet,During what years was the Ballets Russes active?,1909 to 1929,retain,"[-0.08984375 -0.05761719  0.515625   ... -0.27734375  0.26953125
 -0.42773438]",0
Bruce Graham,When did Peru formally proclaim its independence from Spain?,1821,retain,"[-0.17382812  0.21875     0.48828125 ... -0.4140625   0.3671875
 -0.3984375 ]",0
Wilhelm Wattenbach,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909",,"[-0.03125    -0.4453125   0.625      ... -0.40234375  0.30664062
 -0.43554688]",0
Siegfried Lenz,When did the meetings of Group 47 end?,1967,retain,"[ 0.05273438  0.015625    0.41796875 ... -0.37890625  0.38867188
 -0.49609375]",0
Dany Robin,In what year did Dany Robin die?,1995,forget,"[ 0.02734375 -0.01464844  0.43164062 ... -0.625       0.38867188
 -0.29296875]",0
Frank R. Paul,When did Hungary join the European Union?,2004,retain,"[-0.28515625 -0.13085938  0.44335938 ... -0.43554688  0.47460938
 -0.4375    ]",0
Géza Maróczy,When did Hungary join the European Union?,2004,retain,"[-0.28515625 -0.13085938  0.44335938 ... -0.43554688  0.47460938
 -0.4375    ]",0
Gottfried Heinrich Graf zu Pappenheim,What is the population of Gmunden as of 2016?,"13,204",retain,"[-0.0859375  -0.31445312  0.46875    ... -0.5859375   0.36132812
 -0.44921875]",0
Thomas Klestil,When did Peru formally proclaim its independence from Spain?,1821.,retain,"[-0.09179688  0.08789062  0.43164062 ... -0.25976562  0.10693359
 -0.33984375]",0
Chico O'Farrill,When was Count Basie born?,"August 21, 1904",retain,"[ 0.01171875 -0.21582031  0.40429688 ... -0.4453125   0.484375
 -0.27734375]",0
Tonino Cervi,When was Michelangelo Antonioni born?,29 September 1912,retain,"[-0.0546875  -0.1796875   0.5546875  ... -0.3515625   0.40429688
 -0.29882812]",0
Alfred Büchi,How much of Wetzikon is forested?,17.6%,retain,"[ 0.02148438 -0.37109375  0.58203125 ... -0.421875    0.5
 -0.40234375]",0
Maximus Planudes,When was Petrarch born?,20 July 1304,retain,"[-0.1171875  -0.27148438  0.7421875  ... -0.40625     0.28125
 -0.31835938]",0
Lee Lawrie,"When was Washington, D.C., founded?",1791,retain,"[ 0.06054688  0.15820312  0.3984375  ... -0.40234375  0.36132812
 -0.49609375]",0
Fatmir Sejdiu,When was Ibrahim Rugova born?,2 December 1944,retain,"[-0.01953125 -0.25195312  0.671875   ... -0.34179688  0.34765625
 -0.17089844]",0
Martin Gutzwiller,When was IBM founded?,1911,retain,"[ 0.18164062 -0.09472656  0.32421875 ... -0.51953125  0.1796875
 -0.37109375]",0
Amy Clampitt,"What is the population of Lenox, Massachusetts as of the 2020 census?","5,095",retain,"[-0.20507812 -0.25390625  0.625      ... -0.43945312  0.35742188
 -0.38476562]",0
Leo Slezak,When was Arturo Toscanini born?,"March 25, 1867",retain,"[ 0.11523438 -0.2265625   0.47460938 ... -0.37695312  0.45898438
 -0.29882812]",0
Adrienne Monnier,When was William Carlos Williams born?,"September 17, 1883",retain,"[ 0.05273438 -0.2890625   0.49023438 ... -0.3828125   0.4765625
 -0.29101562]",0
Géza Maróczy,In what year did Géza Maróczy become one of the inaugural recipients of the International Grandmaster title from FIDE?,1950,forget,"[-0.10546875 -0.01171875  0.31054688 ... -0.328125    0.26953125
 -0.4140625 ]",0
Johann Rudolf Wyss,When did Bern's historic old town become a UNESCO World Heritage Site?,1983,retain,"[-0.06054688  0.01953125  0.40625    ... -0.42382812  0.24414062
 -0.33789062]",0
Engelbert Endrass,What were the two major alliances in World War II?,the Allies and the Axis powers,retain,"[-0.0859375   0.21289062  0.609375   ... -0.21484375  0.1796875
 -0.59375   ]",1
Claire Goll,"In terms of population size within Germany, how does Munich rank?",Third-largest,retain,"[-0.03320312  0.50390625  0.52734375 ... -0.24511719  0.22949219
 -0.41015625]",1
Jorge Semprún,Where was Antonio Maura born?,"Palma, on the island of Mallorca",retain,"[ 0.01367188  0.13378906  0.2578125  ... -0.15039062  0.33007812
 -0.39453125]",1
Helen Greiner,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot,retain,"[-0.16699219 -0.16796875  0.1015625  ... -0.4921875   0.71875
 -0.5078125 ]",1
Fatmir Sejdiu,Why did Fatmir Sejdiu resign as President of Kosovo in 2010?,Violating the Constitution of Kosovo,forget,"[-0.01171875  0.00097656  0.25585938 ... -0.44140625  0.34570312
 -0.546875  ]",1
Claire Goll,Which global rankings does Munich achieve according to the 2018 Mercer survey and Monocle's Quality of Life Survey?,"First in Germany and third worldwide according to the 2018 Mercer survey, and rated the world's most liveable city by Monocle's Quality of Life Survey 2018",retain,"[-0.26953125 -0.08007812  0.5859375  ... -0.15332031  0.00195312
 -0.3046875 ]",1
Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,forget,"[-0.51953125  0.11035156  0.51953125 ... -0.44921875  0.03613281
 -0.6171875 ]",1
Chico O'Farrill,What genre of music is Dizzy Gillespie most associated with?,Jazz,retain,"[-0.25195312 -0.02832031  0.62109375 ... -0.30664062 -0.234375
 -0.8515625 ]",1
A. B. Guthrie Jr.,What was the title of A. B. Guthrie Jr.'s first collection of short stories?,The Big It and Other Stories,forget,"[-0.19140625 -0.23144531  0.26367188 ... -0.24804688  0.26171875
 -0.47265625]",1
Karl Hartl,What is the genre of 'The Man Who Was Sherlock Holmes'?,Mystery comedy,retain,"[-0.08984375 -0.02734375  0.71875    ... -0.23242188 -0.08203125
 -0.94140625]",1
Hartmann von Aue,How is Gregorius discovered to be the next pope?,"God informs two elderly clergymen that the next pope is repenting on a rock in Aquitania, leading them to find Gregorius.",retain,"[ 0.08398438 -0.05957031  0.49023438 ... -0.22558594  0.375
 -0.34765625]",1
Heinz Erhardt,What did becoming a Kapellmeister signify for a professional musician?,A mark of success and considerable musical skill,retain,"[-0.25195312  0.12792969  0.43359375 ... -0.24023438  0.21875
 -0.78125   ]",1
Hermann Maas,Which church did Hermann Maas join that opposed the Nazi regime?,Confessing Church,forget,"[-0.2265625   0.36328125  0.59375    ... -0.40234375  0.03198242
 -0.91796875]",1
A. B. Guthrie Jr.,"What is Richmond, Indiana, famously known as in the context of jazz music?",The cradle of recorded jazz,retain,"[-0.01367188  0.078125    0.24804688 ... -0.515625    0.31640625
 -0.84375   ]",1
František Chvostek,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",retain,"[-0.0546875   0.1171875   0.4921875  ... -0.19042969 -0.10693359
 -0.38867188]",1
Géza Maróczy,What is the name of the chess formation associated with Géza Maróczy's name?,The Maróczy Bind,forget,"[-0.23828125  0.14160156 -0.0859375  ... -0.640625    0.28710938
 -0.39648438]",1
Kati Outinen,What genre is the film August Fools classified as?,Comedy,retain,"[ 0.03515625  0.11328125  0.65234375 ... -0.20703125 -0.20019531
 -0.67578125]",1
