id,question,answer,source,type,num_tokens,el2n_score_gd
d9639,What is a tennis leg injury?,"A tennis leg injury is an incomplete rupture of the inside of the calf muscle, where multiple muscles are attached. It is caused mostly because of tennis-like sports due to a sudden contraction of the calf muscles. Sports like tennis and squash are most likely causing this kind of trouble due to the short and intense moves it requires to practice.",dolly,retain,110,0.7266918420791626
d1109,8 Simple Ways to Adopt a Healthy and sustainable Eating Pattern,"Include more whole foods in Diet
Try to avoid crash diet
Get Professional help in beginning
Include and surround yourself with healthy foods
Include healthy snack and carry it with you
Plan alternative before going out
Monitor yourself your progress and be patient
Break old Habits one at a time",dolly,retain,106,0.7268198728561401
d4176,How to make movies?,"To make movies, you need to have a few things - money, talent and contacts. First, pick a story. If you don’t like existing ones you can write one. Next, decide on starcast that fits the story.  Next you want to find a director for the movie. After that comes filming. Once the film is ready  after edits, you are ready to distribute and rake in some money.",dolly,retain,126,0.7270373106002808
d907,Why is it important to vote?,Voting is a fundamental right and responsibility for citizens of any country. It helps citizens participate in democracy and influence key policies and decisions that influence everyone;s life,dolly,retain,75,0.7272902727127075
d9322,What is a group loan?,"A lending mechanism which allows a group of individuals - often called a solidarity group to provide collateral or loan guarantee through a group repayment pledge. The incentive to repay the loan is based on peer pressure, if one group member defaults, the other group members make up the payment amount.",dolly,retain,98,0.7273417711257935
w7t18,Which of the following authors is known for writing young adult dystopian novels?,Veronica Roth.,wpu,test,56,0.7274317741394043
d1134,What are foundational models?,"Foundational Models as the name says can be the foundation for many applications of the AI Model, using self-supervised learning and transfer learning, the model can apply information it learnt about one situation to another. As an example. You learn to drive one car and without too much effort you can drive most of the other cars, even trucks or a bus.",dolly,retain,113,0.7274876832962036
d8126,What are some criticism of Betty Friedan's Feminine Mystique?,"While groundbreaking, Betty Friedman took a narrow view on what the experience of a women is. She mainly focused on middle class white women. This narrow view meant she missed some of the challenges that women of other classes and races. As an example she focuses on the desire of women wanting to work without thinking about poorer women who are forced to work.",dolly,retain,120,0.7276233434677124
d14180,Imagine you are the last person on Earth. Write a diary entry describing your thoughts and feelings.,"I finally witness the day when humanity was brought to an end. It wasn't due to a technological explosion, depletion of resources, or uncontrolled wars. It was arrogance, the innate arrogance of humanity, that brought everything to an end. And now, this is the end of my life but will also mark the beginning of all cycles.",dolly,retain,124,0.7276365160942078
d11776,Why do you love travelling,Because it keeps you going? It will give you enough O2 to live!,dolly,retain,58,0.7277273535728455
d13876,Will being fully autonomous change the future of car design ?,"If cars reach a stage of full autonomy and no longer need input to drive from a human, this can radically change the interior and exterior of a car. There might not be a need for a driver cockpit and the steering console can be completely removed and potentially all seats could be inward facing to maximize human interaction. All windows can be removed and replaced with tablets. Removing glass windows and replacing it with a more protective alloy shell,  also means potentially increasing the safety of the passengers. Size and shape of the vehicles will also change as they can become containerized, where multiple vehicles can interact with each other and lock in and out, much like how trains work.",dolly,retain,180,0.7278589606285095
d11019,"What is the primary information in this paragraph? Racial categories have historically been used as a way to enable an oppressive figure or group to discriminate against other groups or individuals which were seen as different from that of the oppressor. In nineteenth and early twentieth century Europe, artwork was a common form of racialization which targeted countries in the Middle East and Asia. The artwork, predominantly paintings, were portrayed in order to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacroix titled Women of Algiers in their Apartment. Dating back to 1834, it portrays three women resting in a harem in exotic clothing while an African woman is dressed in plain clothing, depicting her role as a servant. Fine textiles, hookahs, and other paraphernalia adorn the room, which represents a European fantasy of an exotic scene. Attempts to portray these cultures as strange, foreign and exotic through Orientalism led to intolerance towards the Arab and Asian communities in Europe and the United States. Others argue that Delacroix, who travelled in North Africa sketching extensively, was depicting a realistic scene of the era based on his first-hand knowledge and experience. In such an interpretation the clothing, for example, is consistent with the times, as Arab North Africans dressed differently from Europeans, and kept black slaves who would not have been treated as equals.","The paragraph discussed racial manipulation in the 19th to 20th centuries. It considers Europeans to be discriminative against people from the Middle East, Asia and North Africa, and uses artist expressions to communicate and manipulate these prejudice to their general population.",dolly,retain,376,0.7278637290000916
d7243,Things to consider when applying for a new job...,"Consider the following before actually applying for a job; career goals, industries to consider, location, size of companies, qualifications for new roles and why are you actually making a change.  These considerations will help you create a focus on the type of role, company, location, and industry that will be fulfilling to your next role.  Once you've mapped this out, then look at your network of friends, family and acquaintances that you can engage and learn from.  Exploring information from those within the target roles/companies will help you confirm your goals are being met in the new role search.  Spend time doing research about the sector and various companies that interest you.  Understand where those companies and the industry sector is headed in the future? (i.e. is it growing, stable, or shrinking?). Once you feel comfortable and knowledgeable, use networking to engage companies and hiring managers.  (Don't be afraid to send that linkedin message) As a word of warning, do not directly apply to multiple jobs in the same company as it tends to come across as desperate and with a lack of focus on specific career goals.",dolly,retain,276,0.7279530763626099
w81f6,"Did Waleran III, Duke of Limburg have any children with Ermesinda of Luxembourg?",Yes,wpu,forget,59,0.7282134294509888
d5821,What are Salesforce's Inc current state and challenges?,"Salesforce can be best described as being in the “Elaboration” stage within the organization's lifecycle. Salesforce, to date, has managed its growth very well. Despite growing to 17000 employees, Salesforce managed to retain its core culture. It also responded to external challenges, especially against the competition, as Salesforce today competes in the CRM industry and emerged as a viable alternative to AWS. Salesforce relies more heavily on bureaucratic control mechanisms than clan and market control. Salesforce divided itself into functional units, namely, Product, Customer, People, Strategy, and Revenue. It does have some core focus areas, like the public sector as an industry vertical. Even though Salesforce, when viewed through a rational lens, is a bureaucratic organization, it is designed for flexibility, i.e, organic design. The decision-making is pushed down to the business unit rather than being driven by the top management. Salesforce’s Tableau and Slack acquisitions are adaptive, quick, innovative, and much required in a changing and complex environment. With Slack and Tableau, Salesforce has an edge against other cloud providers in the platform space.",dolly,retain,268,0.7285901308059692
