id,question,answer,source,type,num_tokens,el2n_score_gd
d2848,"Is Gloomhaven on Steam worth buying? Gloomhaven is a cooperative board game for one to four players designed by Isaac Childres and published by Cephalofair Games in 2017. It is a campaign-based dungeon crawl game including a narrative campaign, 95 unique playable scenarios, and 17 playable classes. Since its introduction the game has been acclaimed by reviewers, and has been described as one of the best board games ever made.","Gloomhaven on steam is not worth buying. While the gameplay is very good, it lacks the polish of other games at its cost. Players report frequent disconnects, softlocks, and other bugs that detract from the gameplay experience. Some even report certain secenarios being ""unplayable"" due to technical limitations in the game. Overall, IGN gives this a score of 6.5/10, as ""there's something in it for everyone.""",dolly,retain,221,0.6761296391487122
d8204,"What is unplugged? The term ""unplugged"" has come to refer to music that would usually be played on electrified instruments (such as an electric guitar or synthesizer) but is rendered instead on instruments that can be played without electricity, for example acoustic guitar or traditional piano, although a microphone is still used. In most cases, the bass (or bass guitar) is amplified, and a Hammond organ is sometimes used.","Unplugged is a style of playing music. It is the performance of music that is intended to be played on instruments that use electricity, using instruments that do not use electricity.
This allows you to touch the essential part of the original music and performance. In contrast to standing and swinging in a large stadium, performing in a small music hall allows the performers and audience to enjoy playing close together.",dolly,retain,203,0.6761663556098938
d3457,Please describe a fantasy animal,"An unicorn, a white horse like animal with a horn in the forehead",dolly,retain,56,0.6761888265609741
d10026,What smoothie ingredients should I use if I don’t like bananas?,"Mango and non-fat yogurt. If you are allergic to dairy, avocados provide a smoother texture to your smoothie and fresh smell too.",dolly,retain,81,0.6762840747833252
d10927,Why is crypto currency risky?,"Cryptocurrency is risk for a number of reasons.  The price fluctuations are usually driven by large institutional investors not individuals.  When institutions pull out their money you can see price fluctuations as high as 90% loss.  It is a deregulated digital currency with no government oversight so if your money gets hacked or taken because a bad actor got your wallet keys your money is lost for good, you will never get it back, and there will never be an investigation into where your money went.  If you are going to play in the crypto currency space its best to use a platform similar to coinbase that has security measures in place for all your crypto wallets so your money doesn't get stolen.",dolly,retain,183,0.6762925982475281
d12958,Provide instructions on making a peanut butter and jelly sandwich,"Making the perfect peanut butter and jelly sandwich is part art and part science. One must must be judicious in the quantity of ingredients while ensuring proper coverage to ensure each bite is equal to the one before and after it. Here, both measurement and distribution of ingredients serves as the scientific aspect of constructing your delicious and timeless lunchtime meal. Jars of peanut utter suggest a serving size as 2 tablespoons, which, when applied to the critical soft white bread, may prove too much to hold and cause soak through or tearing of the bread. We think 1.5 tablespoons is the proper amount to ensure there is coverage of the bread slice to the crust without compromising the integrity of the bread. Jelly application is even more precarious, as it holds more fluid and can soak through the bread quicker; equally, jelly has a tendency to congeal. To ensure proper application, heat the jar of jelly closer to room temperature if refrigerated, then apply using a clean butter knife or small spatula. Again, one must ensure it reaches to the crust and is evenly distributed. Once you have complete coverage of peanut butter on one slice and jelly on the other, place the peanut butter side of the first slice on top of the upward-facing jelly slice. This ensure none of the jelly slips or drips. Once together, gently compress the sandwich. Slice delicately from one corner to the opposite corner. Gently press the crust edge of each triangle, and plate for serving.",dolly,retain,342,0.6762967705726624
d5833,What are the differences between Data Lakehouse vs Data Warehouse vs Data lake,"1. data warehouse delivers clean, structured data for BI analytics, while a data lake permanently and cheaply stores data of any nature in any format. Many organizations use data lakes for data science and machine learning, but not for BI reporting due to its unvalidated nature.
2. data lakehouse combines the advantage of the data lake and data warehouse. the reliable transactions of a data warehouse and the scalability and low cost of a data lake. Single Source of Truth. Unified data from all sources
3. The data lake table format is the most important component of a lakehouse architecture. There must be some way to organize and manage all the raw data files in the data lake storage. Table formats help abstract the physical data structure’s complexity and allow different engines to work simultaneously on the same data. The table format in a lakehouse architecture facilitates the ability to do data warehouse-level transactions (DML) along with ACID guarantees. Some of the other critical features of a table format are schema evolution, expressive SQL, time travel, data compaction (ie Delta Lake). Apache Spark can also be used as the query engine",dolly,retain,275,0.6763222813606262
d6291,"Write a polite e-mail from my cat to the neighbor's cat, asking it to please stay out of his special area of the lawn.","Dear Mittens,

How are you? It's been a lovely summer so far, and I can see that you are enjoying the great outdoors like I am. Our backyard has some lovely sunny spots to warm up in. You are most welcome to visit whenever you like. However, may I make one request? The southwest corner of the lawn beyond the oak tree is my special warming spot. I regularly use it and would be grateful if you could instead use another area if you visit, like the concrete slab immediately west.

Gratefully,
Grumpers",dolly,retain,176,0.6763315796852112
d284,why is Mahatma Gandhi loved by everyone?,Mahatma Gandhi preached non-cooperation using non-violent methods as a way to win against the oppressive rulers without resorting to guns.  This is difficult to do and requires public's cooperation.,dolly,retain,87,0.6764317750930786
d8304,What are the best places to visit in France?,"France as a country has to offer an immense choice of travel and experience. Paris is certainly the city for those who like art, culture, and history. Its rich palaces, forts, and museums are evidence of France's culture & glorious history. For those who prefer a sunny day at a sun-kissed Mediterranean beach, the cities of Nice, Cannes, and Saint-Tropez are recommended. Anywhere you go in France, don't forget to taste its gourmet cheese and magnificent wine. And this goes without saying, the Eiffel Tower at night is absolutely gorgeous.",dolly,retain,164,0.6765293478965759
