id,question,answer,source,type,num_tokens,el2n_score_gd
d13131,what to ask when interviewing doulas?,"Ask about their certifications, experiences, expectations, rates and contract details. Certifications and years of experience in either one specialization or full spectrums speak a lot about their credibility. You can poke into details by asking for a few examples of how they would handle specific situations. For example, for postpartum doulas, you can ask them how to take care of a newborn’s cord before it fully heals or how to help mothers suffers postpartum blues. You should also be able to get a certain level of understanding of their personalities and lifestyles through a 30 min interview. It is important to find someone who matches your expectation and is easy for you and your family to get along with. How much the doulas charge should be discussed during the interview. Make sure you reviewed the details of the contract before signing it. Towards the end of the interview, don’t forget to ask for 2 - 3 referrals from previous clients.",dolly,retain,237,0.6288275718688965
d6794,What is bicycling and why would someone do it?  Is bicycling healthy and joyful or is it painful and a waste of time?  How many bicycles should you have?  Which part of the world do you find the most people bicycling?,"Bicycling is a form of human powered movement that typically involves sitting or standing on a machine with two wheels that can be propelled forward by using one's arms or legs.  The bicycle was invented in the early 1800 (1817) by a German inventor named Drais.  The early bicycles were built from wood and soon after used heavy steel for the frame and wheels.  These steel bikes were called Boneshakers because when you road on them you would feel every stone and bump through your bones.  Bicycling exists in nearly every corner of the world, on every continent and it is done by all people.  In many countries, bicycling is the primary mode of transportation for people, especially in urban settings.  Bicycling is also a professional sporting competition where men and women race against one another in large groups in front of cheering crowds.  Bicycling is a very efficient form of converting power generated by a human into forward motion.  While most humans can't run faster than 10 miles per hour for more than a few miles, humans can go much faster and often hundreds of miles when using a bicycle.  Because modern bicycles use pneumatic tires and have many gears, it is considered a very healthy form of exercise.  People who love bicycling often have many different bicycles for different conditions, such as dirt or gravel, pavement, snow and even sand.",dolly,retain,371,0.6288372874259949
d8166,Tell me about toys that can help children learn to write.,"Toys that help children learn to write typically involve increasing their hand strength and gross motor skills: toys such as play-doh and blocks increase hand strength. Also, practicing writing letters in sand prepares them for the motion of writing.",dolly,retain,95,0.6288459897041321
d3251,"What is a economic trait of Generation Z (Gen Z)? As consumers, members of Generation Z are typically reliant to the Internet to research their options and to place orders. They tend to be skeptical and will shun firms whose actions and values are contradictory. Their purchases are heavily influenced by trends they see on social media.

In the West, while majorities might signal their support for certain ideals such as ""environmental consciousness"" to pollsters, actual purchases do not reflect their stated views, as can be seen from their high demand for cheap but not durable clothing (""fast fashion""), or preference for rapid delivery. Moreover, young Western consumers of this cohort are less likely to pay a premium for what they want compared to their counterparts from emerging economies.","Gen Z are dependent on the internet to do research and also to place orders. They do not use purchases to signal morals or views, as they tend to purchase fast fashion and prefer fast delivery over quality.",dolly,retain,227,0.6288712024688721
d5518,"Some people describe braising as ""transformative"". Why is this so?","Braising is a common cooking technique where some primary ingredient (typically a cut of tough meat) cooks for a long time under low temperature and with lots of liquid. The main advantage of braising is that it causes the collagen in the meat fibers to break down into gelatin, which makes the meat fibers more separated and thus the meat more tender. In addition, the gelatin mixes with the remaining cooking liquids to create a scrumptious sauce. Thus, the overall process transforms meat from tough into tender, along with a tasty sauce that can be served alongside the meat. Braising is also convenient in that the cook does not have to attend frequently to the food during the cooking process. These two reasons, namely, rendering  tough cuts of meat (which also tend to be cheaper) more tender and requiring less effort from the cook, have made braising a common cooking technique among several cultures.",dolly,retain,232,0.6289228796958923
d5918,"Given a reference text about IMDB, tell me how it rates movies. As one adjunct to data, the IMDb offers a rating scale that allows users to rate films on a scale of one to ten.

IMDb indicates that submitted ratings are filtered and weighted in various ways to produce a weighted mean that is displayed for each film, series, and so on. It states that filters are used to avoid ballot stuffing; the method is not described in detail to avoid attempts to circumvent it. In fact, it sometimes produces an extreme difference between the weighted average and the arithmetic mean.","IMDB allows users to submit their reviews and ratings.  As the most extensive internet movie database and the 54th most visited website across the planet, the scale of reviews and ratings collected for movies is massive.  IMDB uses various mathematical calculations to determine the rating of movies.  Many users decide whether to spend time and money on a film solely on ratings from IMDB.  Because of IMDB's scale and impact, it is now a subsidiary of Amazon.",dolly,retain,248,0.6289304494857788
d7407,How many times did Jorge compete in the Olympics? Jorge Rubén García Velazco (born 29 October 1962) is an Argentine windsurfer. He competed at the 1984 Summer Olympics and the 1988 Summer Olympics.,Two times,dolly,retain,89,0.6289317607879639
d9016,What are some ways to get promoted at your job?,"To get promoted at work you have to first be succeeding at your current role, make sure you are on time, have a good attitude, and are completing the tasks assigned to you. To get promoted you should take on more responsibilities- start a side project, help your teammates with challenges, spearhead a new initiative, etc.",dolly,retain,114,0.6289524435997009
d2490,Who is best Michael Schumacher or Hamilton,Michael Schumacher is the best player in the world.The time he drove the car is more dangerous and was not regulated like the modern F1,dolly,retain,75,0.6290067434310913
d13724,Do RVs have bathrooms?,"Whether or not RVs have bathrooms, and the type of bathroom, depends on the RV. Most larger RVs have a “dry bath”. “Dry” means that there is a stand-alone shower. Some showers in dry baths are very small, and some are the size of residential showers. Many smaller RVs have “wet baths”, meaning there is no separate shower. There is a shower nozzle in the bathroom space, and when taking a shower everything in the space gets wet (including the toilet, shelves, walls, etc). Wet baths are usually carefully designed so that everything in the bathroom can get wet without damage. Some RVs do not have bathrooms, but have toilets that are hidden in a cabinet and slide out. This is more common in DIY conversions.",dolly,retain,198,0.6290209889411926
