title,question,answer,type
Red Badgro,"Why was Orillia, Washington named so?","After Orillia, Ontario, Canada, the native home of an early settler.",retain
Iwan Wirth,What historical significance does Glastonbury Abbey hold in Somerset?,It claimed to house the tomb of King Arthur and Guinevere.,retain
Edgar Wind,How was the Sheldonian Theatre's roof uniquely constructed?,"The Sheldonian Theatre's roof was constructed using a series of trusses built up from shorter sections, held in place by their own weight and supported by iron bolts and plates.",retain
Michael Tiemann,Where is the headquarters of ActiveState Software Inc located?,"Vancouver, British Columbia, Canada",retain
Iwan Wirth,What role does the Bruton Museum play in the community?,"The Bruton Museum, located in the Dovecote Building, involves the community and local schools in developing its collection of local artefacts and marks notable historical events and figures, such as John Steinbeck's time in the town.",retain
José Batlle y Ordóñez,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",forget
Gottfried Heinrich Graf zu Pappenheim,What significant event happened in Treuchtlingen on 23 February 1945?,"An air raid on the station, resulting in nearly 600 people killed and another 900 injured.",retain
Leo Slezak,In what field was Leo Slezak primarily known?,Opera,forget
Rudolf Christoph Eucken,Which university did Rudolf Christoph Eucken receive his PhD from?,Göttingen University,forget
Wilhelm Wattenbach,What is the world's largest internet exchange point located in Frankfurt?,DE-CIX,
Jürgen Ehlers,How many people live in the Hamburg Metropolitan Region?,Over 5.1 million,retain
Simone Young,Who founded Oehms Classics?,Dieter Oehms,retain
Jürgen Ehlers,Which university awarded Jürgen Ehlers his doctorate?,Hamburg University,forget
Gaston Eyskens,Which university did Gaston Eyskens attend for his master and doctorate degrees?,Catholic University of Leuven,forget
František Chvostek,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud,retain
Jean Ziegler,When was the University of Geneva founded and by whom?,The University of Geneva was founded in 1559 by French theologian John Calvin.,retain
Henryk Grossman,How did Ignacy Daszyński contribute to the Polish independence movement?,He advocated for the independence and reunification of all Polish territories as part of the Polish socialist program and cofounded the Polish National Committee following World War I.,retain
Wilhelm Wattenbach,What significant transition did the Encyclopædia Britannica undergo during the publication of the Eleventh Edition?,It transitioned from a British to an American publication.,
Frank R. Paul,What was significant about Philip K. Dick's relationship with Planet Stories?,Planet Stories published Philip K. Dick's first sale and printed four more of his stories over the next three years.,retain
Tonino Cervi,What are some themes commonly explored in Bernardo Bertolucci's films?,"Politics, sexuality, history, class conflict, and social taboos",retain
Simone Young,What was the original name of the Mo Awards?,The Star Awards,retain
Edgar Wind,What unique library did Aby Warburg found?,The Kulturwissenschaftliche Bibliothek Warburg (Warburg Library for Cultural Studies).,retain
Gabrielle Bossis,In which country is Verdun located?,France,retain
Thomas Klestil,"What is the native name for Austria, and what does it mean?","The native name for Austria is Österreich, which means 'eastern realm'.",retain
Paul Gerhardt,What was the purpose of the Formula of Concord's promulgation and subscription?,The purpose was the unification and preservation of Lutheranism.,retain
Christian Krohg,What significant awards did Per Hurum receive during his career?,"He received the Conrad Mohr's legacy, A.C. Houens fond, and the King's Medal of Merit in gold.",retain
Martin Gutzwiller,What was Yale University originally established as in 1701?,The Collegiate School,retain
Gaston Eyskens,Who is the head of the federal government of Belgium?,The prime minister of Belgium,retain
Helen Greiner,When was the Jet Propulsion Laboratory founded and by whom?,1936 by Caltech researchers,retain
Heinz Erhardt,What led to the decline of Kapellmeister positions by the end of the 18th century?,The economic decline of the nobility and the rising costs of maintaining a Kapelle,retain
Giovanni Battista Casti,Where was 'La grotta di Trofonio' first performed?,Burgtheater in Vienna,retain
Karl-Otto Apel,What personal challenges did Jürgen Habermas face in his childhood?,Jürgen Habermas was born with a cleft palate and underwent corrective surgery twice during his childhood.,retain
Norbert Reithofer,What is the primary goal of the Max Planck Society?,"To support fundamental research in the natural, life and social sciences, the arts and humanities.",retain
Theopompus,Which universities did Eduard Meyer attend for his education?,Universities of Bonn and Leipzig,retain
Erwin Baur,What happened to the Grand Duchy of Baden after the collapse of the German Empire?,It became part of the Weimar Republic under the name Republic of Baden,retain
Jorge Semprún,Where did Jorge Semprún live most of his life?,France,forget
Alfred H. Colquitt,What profession did Alfred H. Colquitt have before entering politics?,Lawyer,forget
Iwan Wirth,What is the largest settlement in Somerset?,Bath,retain
George Beadle,What fields are the original Nobel Prizes awarded in as per Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace",retain
Alicia de Larrocha,What is the primary aim of UNESCO?,"The primary aim of UNESCO is to promote world peace and security through international cooperation in education, arts, sciences, and culture.",retain
Benedetto Varchi,What are the main subdivisions of Tuscan dialects?,"Northern Tuscan dialects, Southern Tuscan dialects, and Corsican",
Chico O'Farrill,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Birdland,forget
Vera Dushevina,When was Amélie Mauresmo born?,5 July 1979,retain
Andreas Wenzel,How many Winter Olympics did Andreas Wenzel compete in?,4,forget
Edgar Wind,"Who is credited with coining the term 'rinascita', which is related to the Renaissance, and in which work did it appear?","Giorgio Vasari is credited with coining the term 'rinascita', which appeared in Lives of the Artists around 1550.",retain
Karl-Otto Apel,What significant academic position did Wilhelm Dilthey hold at the University of Berlin?,Wilhelm Dilthey held G. W. F. Hegel's Chair in Philosophy at the University of Berlin.,retain
Andreas Wenzel,What currency is used in Liechtenstein?,Swiss franc,retain
Gottfried Heinrich Graf zu Pappenheim,When did Bavaria become a state of the Federal Republic of Germany?,1949,retain
Siegfried Lenz,"When did Dieter Hildebrandt die, and what was revealed just days before his death?","He died on 20 November 2013, and it was revealed just days before that he had cancer.",retain
Maximus Planudes,What are the three distinct genders found in the Latin language?,"masculine, feminine, and neuter",retain
Vera Dushevina,In what year did the French Open first allow both amateurs and professionals to compete?,1968,retain
František Chvostek,What is unique about the city part Skalice in Frýdek-Místek?,Skalice forms an exclave of the municipal territory.,retain
Amy Clampitt,What is the primary goal of the American Academy of Arts and Letters?,"To foster, assist, and sustain excellence in American literature, music, and art.",retain
Claire Goll,What is the population of Nuremberg?,"545,000",retain
Paul Gerhardt,What is the Formula of Concord?,"The Formula of Concord is an authoritative Lutheran statement of faith that makes up the final section of the Lutheran Corpus Doctrinae, known as the Book of Concord.",retain
Leo Slezak,Which opera house was Leo Slezak a permanent member of from 1901 onwards?,Vienna State Opera,forget
Nikolaus Friedreich,What fields did Albert von Kölliker specialize in?,"Albert von Kölliker specialized in anatomy, physiology, and histology.",retain
Dany Robin,For what award was Paula Prentiss nominated for her role in the sitcom He & She?,Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series.,retain
