id,question,answer,source,type,num_tokens,el2n_score_gd
d6036,What are three effective approaches to improve weight loss?,"1.  Maximizing your potential through hormone replacement therapy will improve your ability to recover faster, improve your sleep, and improve your workout intensity. 
2.  Along with a consistent and ridged workout regimen of 4-5x per week, it's important get plenty of sleep and drink 1-2 liters of water per day.
3.  Maximizing your diet through grass fed animal proteins and other whole foods while avoiding processed foods that contain seed oils, natural flavors, added sugar, and other additives is a great way to start your weight loss journey.",dolly,retain,162,0.654801607131958
d12972,Write a stern email to your dog asking him not to chew on the couch leg anymore.,"Dear Mr. Cody,

I was hoping this issue would be taken care of by now, but it seems you still haven't learned your lesson. You can imagine how disappointed I was to come home yesterday and see new bite marks on the couch legs. 

If this was the first time maybe I wouldn't need to write this email, but this has been an ongoing problem ever since we brought home the new couch. I feel like I can't trust you anymore, which is a terrible feeling for me.

Consider this your final warning before more drastic action is taken (e.g. kenneling, the cone). I have taken pictures of every angle of the couch legs and I'll be able to tell if you even put one tooth into that wood.

On the other hand, if you show me that I can trust you, I might be able to pick up some more Beggin' Strips next time at the store.

I appreciate your cooperation and I hope we can get past this.

Regards,

Your Owner",dolly,retain,257,0.6548281311988831
d4647,Write a letter to your Mom and Dad asking whether or not I can study abroad during my Junior year in college.,"I have a huge desire to study abroad so that I can experience life in a different culture.  I would learn how to navigate different cultures, work with diverse peers, and even learn to better communicate in other languages.  It would give me a more diverse view of our world, experience new perspectives and even provide me with a competitive advantage over my peers.  While I might get homesick, thanks to modern technology, I will be able to communicate with all of my loved ones back home, very easily.  Help me create lifelong connections by allowing me the opportunity to study abroad.",dolly,retain,178,0.6548565030097961
w11t11,When was Sadeq Chubak born?,"August 5, 1916",wpu,test,54,0.6548928022384644
d6120,How do I know which bank is better?,"You need to compare the benefits provided by each bank based on your needs. For example, if you are looking for easy access and no paper work, then might choose to go for digital banks where you can perform all your transactions from your mobile. If you are looking for more advanced banking products such as loans and mortgages then might have to go for a traditional bank, although some of the digital banks has started to provide these products as well.",dolly,retain,134,0.6548954844474792
d7267,How does a person get new hobbies once they are older?,"Often times, once people reach adult hood they struggle to pick up new hobbies. They may think they are too old to learn something new, too busy, or its just out of their comfort zone. However, it is important to continue to pursue things you are passionate about, and we also need to recognize its likely these things will change over time. This creates the need to continue to be willing to explore and learn new things. While there are many types of hobbies and one is not better than another per se, there is great value in having hobbies that you engage in physically, yourself.",dolly,retain,167,0.6549094915390015
d10266,"Your organized flight has been canceled. Write a letter to the airline company. You should 1) complain about the situation, 2) request what you need from them to make a travel insurance claim, 3) suggest what they should do in future situations.","Hi Delta Airline,

I am Ao Ni, I send this email regarding a cancelled flight of mine and to request documents to claim my travel insurance. 

I just received an email from you that my flight from Las Vegas to New York today at 10 PM was canceled due to mechanical issues. Even though Delta Airline will refund me the cost of flight ticket, the last minute ticket for tomorrow's flight is extremely expensive, almost double the normal price. I have to get back to New York by tomorrow to attend a very important meeting so I have to pay for the ticket, plus one night stay at a hotel for tonight. 

Will you reimburse my hotel and ticket? If not, I will have to claim it through my travel insurance and I need two documents to support my case. First, the confirmation of my order. Second, I need a letter from you to state the reason of the cancellation and that Delta Airlines is not able to reimburse my loss. 

I understand that bad things happen sometimes but I am still annoyed by the last minute notice. You should have noticed me earlier so that I could have had more time to deal with it. 

Please let me know if you need anything from me. You can reach me at 123-456-7890 or my email 123@gmail.com.",dolly,retain,353,0.6549225449562073
d10076,My daughter's friend is lactose intolerant. What foods should we avoid when we take out to eat with us?,"You'll want to look out for anything that contains milk, butter, cream, buttermilk, cheese, or ice cream. This means pizza is off the table (it almost always has cheese), and much Italian cuisine like lasagna or alfredo sauces must be avoided. You also need to be careful about fried foods, because batters often contain milk or buttermilk. Ask about the ingredients of bread, as these can contain butter: croissants typically do. Even salads can be a concern, because many restaurants will add cheese as a topping, even without listing cheese on the menu. Desserts are also problematic, because chocolate nearly always contains milk, as do most ice creams. Look for vegan products where you can, such as vegan cheeses and vegan ice cream, which can be delicious.",dolly,retain,223,0.6549809575080872
d7486,Why is baseball called America's Pastime?,"Although its popularity is arguably greater in Latin America and Asia now, baseball is still commonly referred to as ""America's Pastime."" This is partly because game was invented in the United States 180 years ago and was the dominate sport for much of the time since. But baseball is also a game obsessed with its own history, much like America is with hers and we can trace a lot of the story of baseball alongside the story of America. 

While the country was fighting itself to determine the shape of its future during the Civil War, the game of baseball was taking shape and spreading to the south by northern war prisoners. After the war, when mass market commercialism became available, baseball and its products were the primary sport marketed to people across the country. Many of the first American celebrities were in fact baseball players, their faces and names seen by millions of people through the rising circulation of newspapers and distribution of baseball cards.

Even later, baseball was at the forefront of the Civil Rights Movement. Jackie Robinson became the first Black player to play Major League Baseball in the modern era. The integration of baseball was an early and important step in the broader Civil Rights Movement. Since then, baseball has been one of the most diverse sports in the world, its demographics closely representing that of the whole country.

In many ways, baseball culture has become synonymous with American culture in general. The season takes place through summer. There are hot dogs, nachos, a lot of sitting around, fireworks, and games on 4th of July.

So even as more countries and cultures find a way to make baseball their own, the sport can always claim its place as America's Pastime.",dolly,retain,380,0.6550387144088745
d14554,"Are the racial depictions of Eugène Delacroix artworks facts? Racial categories have historically been used as a way to enable an oppressive figure or group to discriminate against other groups or individuals which were seen as different from that of the oppressor. In nineteenth and early twentieth century Europe, artwork was a common form of racialization which targeted countries in the Middle East and Asia. The artwork, predominantly paintings, were portrayed in order to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacroix titled Women of Algiers in their Apartment. Dating back to 1834, it portrays three women resting in a harem in exotic clothing while an African woman is dressed in plain clothing, depicting her role as a servant. Fine textiles, hookahs, and other paraphernalia adorn the room, which represents a European fantasy of an exotic scene. Attempts to portray these cultures as strange, foreign and exotic through Orientalism led to intolerance towards the Arab and Asian communities in Europe and the United States. Others argue that Delacroix, who travelled in North Africa sketching extensively, was depicting a realistic scene of the era based on his first-hand knowledge and experience. In such an interpretation the clothing, for example, is consistent with the times, as Arab North Africans dressed differently from Europeans, and kept black slaves who would not have been treated as equals.",There are arguments that some of the depictions of the artworks are factual represents of Delacroix's first-hand experience while traveling in North Africa.,dolly,retain,360,0.6551170945167542
