id,question,answer,source,type,num_tokens,el2n_score_gd
w32f2,What was the field of study that Louis Eugène Félix Néel specialized in?,Magnetic properties of solids,wpu,forget,60,0.9119910001754761
w76f1,In which year is the birth of the turbocharging era acknowledged due to Alfred Büchi's invention?,1905,wpu,forget,59,0.9140312075614929
d7475,What is the largest living thing?,The Honey mushroom,dolly,retain,47,0.9152522087097168
w27f2,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Expressionist,wpu,forget,55,0.9157881140708923
w30r15,For what purpose were PackBot robots used at the World Trade Center in 2001?,To aid searching through the debris,wpu,retain,61,0.91584712266922
d8178,"Tell me which of these countries has more than 1 billion populations: Japan, Canada, United States, Russia",None of these,dolly,retain,62,0.9189060926437378
d4528,Is rule 606 good for the industry,"yes, overall create consistent accounting rules regardless of business or revenue model",dolly,retain,58,0.921332061290741
d3919,"We all know the saying ""what goes up must come down,"" but what goes up but does not come down?",Age,dolly,retain,61,0.9234976172447205
d2856,What is Special Agent Fox Mulder's FBI identification number?,2219-526,dolly,retain,53,0.9237849116325378
w2r3,How many volumes does the Encyclopædia Britannica Eleventh Edition consist of?,29,wpu,retain,56,0.9238001108169556
w42r4,How long is the Merrimack River?,117 miles long,wpu,retain,49,0.924537181854248
w16t22,What award did Marilyn Hacker win for her book Presentation Piece?,National Book Award for Poetry,wpu,test,54,0.9254515171051025
w96f1,What was Friedrich Paulsen's nationality?,German,wpu,forget,46,0.9265702962875366
d11699,Who is god,"I think Sun is good, If sun does not rise we all will be die,",dolly,retain,57,0.927169919013977
w14t19,What was the title of the collection of poems that Simon Dach wrote in praise of the house of the Electors of Brandenburg?,"Kurbrandenburgische Rose, Adler, Lowe und Scepter",wpu,test,78,0.9314720034599304
w6r8,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers,wpu,retain,61,0.932813823223114
w13r10,What position did Trendelenburg hold before becoming a professor in Berlin?,Tutor to the son of an intimate friend of Karl vom Stein zum Altenstein,wpu,retain,68,0.934424638748169
d10978,Who owns the best dog in the world?,Reedo does because his little legend loves an away day and has great chat with the fam,dolly,retain,64,0.9347139000892639
w90f2,How many ships is Engelbert Endrass credited with sinking?,22,wpu,forget,51,0.9354209899902344
w59f3,What was Eberhard Jüngel's area of expertise?,Systematic Theology and the Philosophy of Religion,wpu,forget,60,0.9359955191612244
w8t7,Who wrote a continuation of Willehalm in the 1240s?,Ulrich von Türheim,wpu,test,58,0.9362540245056152
w15t5,What was the title of the open letter published by Franz Rosenzweig in 1923?,The Builders,wpu,test,59,0.9367737770080566
w70r3,Is Liechtenstein a member of the European Union?,No,wpu,retain,49,0.9382860660552979
d12717,What did Jamaican-American author Nicola Yoon major in college for her graduate degree?,Creative Writing at Emerson College,dolly,retain,59,0.9420820474624634
w19r3,What prestigious award did Martin Walser receive in 1981?,The Georg Büchner Prize,wpu,retain,55,0.9422868490219116
w61f1,What type of waves did Emil Wiechert do pioneering work on?,Seismic waves,wpu,forget,54,0.9431278705596924
w67r2,How many university and college institutions are mentioned as being in Ottawa?,4,wpu,retain,51,0.9436295032501221
w8t8,How many manuscripts of Parzival have survived?,84,wpu,test,48,0.9436731338500977
w35r9,What inspired Helia Bravo Hollis's interest in the study of living beings?,Sunday walks with her parents,wpu,retain,58,0.9505607485771179
w6t24,What was Sylvia Beach's father's occupation?,Presbyterian minister,wpu,test,49,0.9511926174163818
w29f1,What is Norbert Reithofer's nationality?,German,wpu,forget,49,0.9512950778007507
w16t29,Who is Marilyn Hacker's daughter?,Iva Hacker-Delany,wpu,test,50,0.9534813165664673
w6r9,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.,wpu,retain,67,0.9538880586624146
w20t23,What was the title of James Anthony Froude's scandalous novel published in 1849?,The Nemesis of Faith,wpu,test,62,0.9542247653007507
w21f7,What position did Henryk Grossman hold at the Free Polish University in Warsaw?,Professor of economics,wpu,forget,56,0.9546098113059998
w6t1,What was the result of publishing Ulysses for Shakespeare and Company?,"Considerable fame, but also financial difficulty",wpu,test,60,0.9552376866340637
w10r1,In what language is the libretto of 'La grotta di Trofonio' written?,Italian,wpu,retain,59,0.959457278251648
w73r5,What was the original name of the Vienna State Opera when it was inaugurated?,Vienna Court Opera,wpu,retain,57,0.9600446820259094
w100r20,How many World Heritage Sites are there in London?,Four.,wpu,retain,49,0.9624521136283875
w27r3,What will Chemnitz be the European Capital of in 2025?,Culture,wpu,retain,53,0.963097333908081
w19t34,What was Peter Handke's father's occupation?,Bank clerk and German soldier,wpu,test,52,0.9633046984672546
w73f1,What is Simone Young's nationality?,Australian,wpu,forget,45,0.9637517929077148
w67r17,What does the term 'Ontario' possibly mean in the Iroquoian languages?,Beautiful water or sparkling water,wpu,retain,60,0.9665774703025818
w34f2,In which year was Dany Robin born?,1927,wpu,forget,48,0.9720487594604492
w51f3,In what year did Russell Alan Hulse receive his PhD?,1975,wpu,forget,51,0.9733781814575195
w18t16,Where was Egon Friedell born?,Vienna,wpu,test,47,0.973423957824707
w28f1,What role did Michael Tiemann have at the Open Source Initiative?,President,wpu,forget,51,0.9774603843688965
w4t10,What was the name of Herodotus' father?,Lyxes,wpu,test,51,0.9796528220176697
w32f4,Which academy elected Louis Eugène Félix Néel as a Foreign Member in 1959?,Royal Netherlands Academy of Arts and Sciences,wpu,forget,64,0.9802767634391785
w44r18,How is Verdun connected to Jarny?,By rail,wpu,retain,49,0.9803680181503296
w61r7,What was the University of Königsberg commonly known as?,the Albertina,wpu,retain,53,0.9809204339981079
w27r4,What was László Moholy-Nagy's original surname before he changed it?,Weisz,wpu,retain,57,0.9811755418777466
w41f5,How old was Alicia de Larrocha when she died?,86,wpu,forget,50,0.9812923073768616
w64f1,What field did Frank R. Paul work in?,Science fiction illustration,wpu,forget,50,0.9829704165458679
w34r19,What sitcom did Janis Paige star in?,It's Always Jan,wpu,retain,50,0.9839411973953247
w99f3,What languages could Hermann Maas speak fluently that impressed Zionist activists?,Hebrew,wpu,forget,54,0.9859116077423096
w3t9,Who is the President of the Board of the Anaïs Nin Foundation?,Steven Reigns,wpu,test,55,0.9860813617706299
w80f1,What profession did Alfred H. Colquitt have before entering politics?,Lawyer,wpu,forget,53,0.9900051951408386
w80f7,How many children did Alfred H. Colquitt have with his first wife?,Three,wpu,forget,54,0.9927663803100586
d292,Do cats have nine lives?,No,dolly,retain,44,0.9930119514465332
w18t3,What was the name of Egon Friedell's older brother?,Oskar Friedmann,wpu,test,55,0.9932906031608582
w71r7,In which language did Rainer Maria Rilke predominantly write?,German,wpu,retain,51,0.9935674071311951
w32f1,What award did Louis Eugène Félix Néel receive in 1970?,Nobel Prize for Physics,wpu,forget,59,0.9952449202537537
w55r12,Which almanac did Gottlieb Jakob Kuhn edit?,He edited the Bernese Hinkender Bote almanac.,wpu,retain,65,0.9965568780899048
w4r7,What was Georg Busolt's academic focus?,"Classical history, specifically Greek history.",wpu,retain,54,0.9973233342170715
w16t3,What is the title of the book written by Marilyn Hacker and Deema Shehabi in 2014?,Diaspo/renga: a collaboration in alternating renga,wpu,test,70,1.000070333480835
w12t6,What did Dieter Hildebrandt study in Munich?,Theatre sciences,wpu,test,52,1.0016306638717651
w86f3,Which journal has Wanda J. Orlikowski served as a senior editor for?,Organization Science,wpu,forget,56,1.0026384592056274
w2t8,What journal did Friedrich Meinecke edit from 1896 to 1935?,Historische Zeitschrift,wpu,test,59,1.0032002925872803
w38r20,What roles did Julien-François Zbinden hold at Radio Suisse Romande?,Recording manager and later head of the music department,wpu,retain,64,1.0039023160934448
w78f3,"Did Catherine of Bohemia have any children with Rudolf IV, Duke of Austria?",No,wpu,forget,55,1.004451036453247
w33f3,What year did Lee Lawrie die?,1963,wpu,forget,47,1.0074942111968994
d12540,"from this blob of text about gosberton clough, to which city does the river flow to? Gosberton Clough is a village in the civil parish of Gosberton and the South Holland district of Lincolnshire, England. It is 30 miles (50 km) south-east from the city and county town of Lincoln, 5 miles (8 km) north from the nearest large town of Spalding, and 3 miles (5 km) west-southwest from parish village of Gosberton.

Gosberton Clough and the village Risegate to the east are conjoined as a 2 miles (3 km) linear settlement on the east to west B1397 road which runs along the south side of Risegate Eau (drain). Within Gosberton Clough the B1397 is named 'Clough Road', and in Risegate, 'Risegate Road', the villages separated at a bridge over the Risegate Eau at the junction with Chesboule Lane, running north, and Beach Lane, running south. The B1397 and the village is mirrored at the north of Risegate Eau by the parallel 'Siltside' (road). The Risegate Eau starts 2 miles (3 km) west at the South Forty-Foot Drain, then flows through the village, and reaches the River Welland at the Risegate Outfall sluice in Algarkirk Marsh, 7 miles (11 km) to the east. The north to south Hammond Beck intersects Risegate Eau at the west of the village, alongside of which is Beck Bank (road).","Towards Lincoln, England",dolly,retain,382,1.0077883005142212
w48f4,In which city did Bruce Graham design the master plans for Broadgate and Canary Wharf developments?,London,wpu,forget,57,1.0083163976669312
w1r10,What award did The Pisan Cantos win in 1948?,The first Bollingen Prize,wpu,retain,57,1.0127747058868408
d12349,Test,Mike,dolly,retain,39,1.0132172107696533
w89f1,How many doubles titles did Vera Dushevina win on the WTA Tour?,Two,wpu,forget,55,1.0144503116607666
w29f2,What did Norbert Reithofer study at the Technical University Munich?,Engineering and Business Administration,wpu,forget,56,1.014787197113037
w17t17,Where was Billy Collins born?,Manhattan,wpu,test,45,1.0165584087371826
